,LP,LD1,LD2,RP,RD1,RD2
x,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[-3.342903400932905e-05, 3.5046750713880596e-05, -1.2659338026971738e-05, -0.0007956973612132733, -0.00590468870665202, -0.005934708201403142, -0.012190808879959918, -0.023268237500629636, -0.017389598414595423, -0.014730435710436493, -0.006618612649457376, -0.003078985243650893, -0.002816016636209546, -0.0049285220207577725, -0.006111669580366851, 0.059393520760365, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.08396703325157193, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[-2.221687960015199e-06, -6.13720036375597e-06, -2.3918983253936123e-05, -0.0007884292455614355, -0.005208550293247708, -0.005482328440141201, -0.01123847887654834, -0.023055037622563238, -0.012646493118700168, -0.009827848611009502, -0.0016665739207847269, -0.0008152124748919477, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, -0.015982577165664126, -0.01229311378894127, -0.0019852517655507716, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
y,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[-1.1095162685342175e-05, 4.51701443914062e-05, 6.142205950086671e-06, -0.0002709223958038414, -0.0014087113403994614, -0.002098523118703559, -0.0035340103107097415, -0.007657812029626812, -0.006327595336286989, -0.006667717546492586, -0.002413913346104522, -0.00029715127966748026, -0.0017825883323793648, -0.002278606441086499, -0.004805903298709647, -0.026924972119058577, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, -0.014277492830821711, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[5.473836831983546e-06, -1.7836289254464053e-05, 3.155672813749279e-05, -0.00027192116728983807, -0.003712802496636138, -0.0033529561684846805, -0.004109939379275681, -0.007023056733732906, -0.00427349472461781, -0.0032872238529479, -0.0003861330947024589, -0.00035791155612737303, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, -0.0053121275401461256, -0.004063423275219758, -0.00042301946932608246, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
z,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[1.7983576115080894e-05, -1.4164165979254114e-05, -9.640326392656694e-06, 0.00016349472268033902, 0.0014672091310994723, 0.00038491524843115114, -0.0012943765579416773, 3.586943029035693e-06, 0.0002210396867578496, 0.00025644214958488783, 0.0018742635250476808, 0.0008506898646787655, -0.0012830897910620274, -0.0015859434471864756, 0.00048039731734642033, -0.00012943739041861501, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0010475453506778364, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[-3.073146543059622e-06, -1.2997530478642692e-05, -5.902985636853155e-07, -0.00010923402790189541, -0.00250966518496397, -0.0014040802395685504, -0.002230086882548133, -0.0018919940081898042, -0.00035210546189620246, -0.0006840901353937018, -2.3639689625986737e-05, -7.781680801513074e-05, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, -0.0004285301005890615, -0.0007658994402039465, 8.729377009056402e-05, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
