,transforms
23,"[array([[-0.01041255, -0.9965426 ,  0.07704885, -0.085981  ],
       [ 0.99964717, -0.02922449,  0.02516666,  0.163731  ],
       [-0.02443591,  0.07777384,  0.99670964,  0.0976795 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
24,"[array([[-0.05745939, -0.99401366,  0.07676115, -0.0891195 ],
       [ 0.99793679, -0.07539943,  0.03302428,  0.162588  ],
       [-0.02864569,  0.07906819,  0.99650244,  0.097696  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
25,"[array([[-0.12531085, -0.98623434,  0.07810918, -0.0944715 ],
       [ 0.99173989, -0.14319008,  0.03736485,  0.160551  ],
       [-0.02737108,  0.0826948 ,  0.99624436,  0.0977405 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
26,"[array([[-0.14702014, -0.98282259,  0.07813913, -0.094986  ],
       [ 0.98872411, -0.16445738,  0.04028764,  0.160033  ],
       [-0.02845551,  0.08374676,  0.9961281 ,  0.097766  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
27,"[array([[-0.14675321, -0.98287356,  0.07852108, -0.0944235 ],
       [ 0.98875707, -0.16394403,  0.04055394,  0.160143  ],
       [-0.02868702,  0.08415414,  0.99608725,  0.0977665 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
28,"[array([[-0.14681952, -0.98286667,  0.07732028, -0.093548  ],
       [ 0.9887751 , -0.16467522,  0.03939957,  0.1603495 ],
       [-0.02770972,  0.08279601,  0.99622751,  0.0977345 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
29,"[array([[-0.14628629, -0.98362451,  0.06825751, -0.088877  ],
       [ 0.98896413, -0.16482237,  0.03374731,  0.1610385 ],
       [-0.02345784,  0.07291375,  0.9970968 ,  0.0975635 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
30,"[array([[-0.10612482, -0.98961792,  0.0664    , -0.083059  ],
       [ 0.99404702, -0.12558154,  0.03182788,  0.162668  ],
       [-0.02465866,  0.06989737,  0.99728533,  0.0975605 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
31,"[array([[-0.05004057, -0.99532082,  0.06588327, -0.0773705 ],
       [ 0.99846049, -0.0690171 ,  0.02720665,  0.1642165 ],
       [-0.0239288 ,  0.06762473,  0.99745636,  0.0975915 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
32,"[array([[-0.00898372, -0.99768845,  0.06098243, -0.072068  ],
       [ 0.99967028, -0.02852888,  0.02455846,  0.165219  ],
       [-0.02405455,  0.06167552,  0.99783667,  0.097709  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
