,transforms
0,"[array([[-0.99989044,  0.01935915, -0.00185911, -0.0765215 ],
       [-0.01460886, -0.99916678, -0.03597273,  0.1080495 ],
       [-0.00238597, -0.03593008,  0.99935104,  0.094618  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.99988942,  0.01932567, -0.00177289, -0.076521  ],
       [-0.01469195, -0.99916869, -0.03593595,  0.108049  ],
       [-0.00230216, -0.03589505,  0.99935252,  0.0946155 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.99988778,  0.01939019, -0.0019362 , -0.076517  ],
       [-0.01477564, -0.99916508, -0.03600479,  0.108051  ],
       [-0.00246958, -0.03596056,  0.99934974,  0.0946205 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.99989081,  0.01929529, -0.00169376, -0.0765215 ],
       [-0.01460947, -0.9991726 , -0.0358417 ,  0.108043  ],
       [-0.00221863, -0.03580242,  0.99935604,  0.094617  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.99989164,  0.01929343, -0.00186373, -0.0765235 ],
       [-0.01452637, -0.99917162, -0.03587321,  0.1080435 ],
       [-0.00238618, -0.03583066,  0.99935461,  0.0946205 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-0.99988807,  0.01932444, -0.00181189, -0.076515  ],
       [-0.01477688, -0.99916879, -0.03593442,  0.10805   ],
       [-0.00234421, -0.03589278,  0.99935251,  0.0946175 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[-0.99989146,  0.01932873, -0.00194612, -0.076515  ],
       [-0.01452455, -0.99916842, -0.03594497,  0.1080435 ],
       [-0.00246959, -0.03590073,  0.99935188,  0.0946195 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.99989199,  0.01920088, -0.00173821, -0.076518  ],
       [-0.01452273, -0.99917437, -0.03584352,  0.1080445 ],
       [-0.00226002, -0.03580362,  0.9993559 ,  0.094619  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.9998931 ,  0.01929954, -0.00178246, -0.0765215 ],
       [-0.01443904, -0.9991711 , -0.03588301,  0.1080495 ],
       [-0.00230188, -0.035842  ,  0.99935441,  0.0946165 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.99989008,  0.01932938, -0.00198634, -0.076524  ],
       [-0.01461191, -0.99917064, -0.03588358,  0.108044  ],
       [-0.00251208, -0.03583858,  0.999354  ,  0.0946185 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
10,"[array([[-0.99989054,  0.01939089, -0.00181868, -0.076515  ],
       [-0.01460886, -0.99916957, -0.03587706,  0.1080445 ],
       [-0.00234411, -0.03583513,  0.99935456,  0.0946155 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
11,"[array([[-0.99988779,  0.01923183, -0.00193612, -0.0765175 ],
       [-0.01477502, -0.99916814, -0.03600448,  0.108048  ],
       [-0.00246948, -0.03596067,  0.99934975,  0.0946155 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
12,"[array([[-0.99989054,  0.01932809, -0.00181727, -0.076517  ],
       [-0.01460886, -0.99916734, -0.035973  ,  0.108046  ],
       [-0.00234411, -0.03593124,  0.99935111,  0.094614  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
13,"[array([[-0.99989356,  0.01929712, -0.00182669, -0.0765195 ],
       [-0.01440021, -0.99917244, -0.03584766,  0.1080485 ],
       [-0.00234422, -0.03580582,  0.9993556 ,  0.094612  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
14,"[array([[-0.99989137,  0.01932779, -0.0019939 , -0.076533  ],
       [-0.01452394, -0.99918322, -0.03553216,  0.1080715 ],
       [-0.00251134, -0.03548708,  0.99936654,  0.094612  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
