,LP,LD1,LD2,RP,RD1,RD2
x,"[-9.321482466406739e-06, -4.237276445040461e-05, 1.5420193408721694e-05, -9.737890498190405e-05, 0.0005817883594650963, 0.0015280439469447793, -0.0006859718360869294, -0.000392080104857806, -0.00026615113757277875, -9.805837467369294e-05, -0.00040995404022498017, 0.0006050343875824704, 0.00047202426088022165, -7.242077649638468e-05, -1.1865912981467996e-05, -7.093343199593427e-06, 1.1680862455565322e-05, 5.039046879751208e-05, 0.0013100326949617158, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[2.4944143863780965e-06, -4.994660909030113e-06, 1.2323932155833273e-05, -0.0002898397589798929, 0.004414873198088642, 0.002577011598664136, -0.0022292737510828387, -0.0008498735462461049, -1.3559056183443108e-05, -0.00015316452290031757, -0.001575075431421602, 0.002254324520247597, 0.0011425244805035595, -7.718437037168568e-05, -4.419861671267622e-06, -9.792629242610928e-06, 1.701428559602869e-05, 0.00011450789490863311, 0.0028680607247072998, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, -9.428134935568488e-05, -2.7140263495484263e-06, -1.0090100043880224e-05, 1.7940777581271217e-05, 0.0001239343227116274, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[6.034114657993417e-06, -4.2347595480218825e-05, 2.8093187255384677e-05, -2.9759796757566903e-05, 0.004271809871314203, 0.0022317999117730247, -0.0012774618724468723, -0.0015859122617907229, -2.9097085145535218e-05, -0.0001414699983119383, -0.001364459016200914, 0.0011110821215343791, 0.0003373242147377553, -0.00011332670886010643, -2.903324051056755e-05, 0.00029177516496464717, -0.00018843256731382318, -0.0002626170801044436, -0.013535332630774777, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[1.5524604989880508e-06, -3.0441632213329406e-05, 1.939980888138182e-05, -4.5453041791154725e-05, 0.004678252753217482, 0.0025960498281772937, -0.0016965902144283618, -0.0020249695077397267, -0.00022174938198438188, None, -0.001549148230894526, 0.0011848338643763445, 0.00027718264903447976, -0.000139145179297695, -3.164766187691015e-05, 0.00023274305809367624, -0.0001390124407181781, -0.0004808622537261775, -0.01582887555900031, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
y,"[-3.0375437699570185e-06, 2.5058350859308298e-05, -3.3305648610704175e-06, -0.00023411671626366592, 0.0015155758280768206, 0.001566160167562447, -0.0007936706464785059, -0.0008384679598483769, -3.249927405851727e-05, 0.00025328332846735746, -0.0010149825055946193, 0.0006743107532717341, 0.0010098332124864329, -0.00017871807388297745, -5.355510253213236e-06, 8.606163871105466e-06, 6.769639611658995e-06, 3.4476142456663084e-05, 0.0016563416003604892, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[1.2730540787875277e-05, 5.2027575541679916e-06, -9.701101091608155e-06, -0.00022386950841135622, 0.002832203342741424, 0.0026722392646329474, -0.002202626248332229, -0.0004327593490148218, -0.00021039511458409432, -9.819228693352944e-05, -0.0011357902979414192, 0.0014197219140472117, 0.0013422693784557738, -8.098357832936331e-05, 1.6014284169862947e-06, -2.3472523492107378e-06, 1.7378712700966137e-05, 7.251091240967344e-05, 0.0030967365426875504, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, -8.843828140780996e-05, 1.552329368548211e-06, -2.9905975246213856e-06, 1.840228466332139e-05, 7.851507196143803e-05, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[1.5080560312186186e-06, 6.778938950124935e-06, -1.099706699536629e-06, -0.0003342424162900426, 0.000590323917651181, 0.000774437140563633, -0.0008056173789526277, -0.0009494600655212682, -0.0003786385462797859, -0.00033367844038689753, -0.000640146898852112, 0.00014132902716701423, -7.213739267480923e-05, -1.3783427513680557e-05, -1.4519718140038052e-05, 2.5647494429348328e-05, 6.839830455740437e-05, -0.0007639949366249343, -0.006582571134319426, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[-2.809993239871744e-06, 1.70453321096109e-05, -9.13116686845905e-06, -0.00037296890189186804, 0.0009181063700152703, 0.001088548832836933, -0.001047736932341059, -0.00135128844642729, -0.0005186123866225412, None, -0.0008555214717360649, 0.00021487205496573125, -0.0001260821584992966, -3.2932068292246264e-05, -1.6173864131607818e-05, -2.4773873471439778e-05, 0.00012298934812948747, -0.0010093802128516294, -0.008597009624265017, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
z,"[1.9682554883992953e-05, -1.819511112394201e-05, -6.599037458671075e-06, 0.00022591672916721928, -2.0453778435736147e-05, -0.000785305398114805, 7.11256843703989e-05, 0.0003998061855282342, 0.00022016181437145566, 0.00025198662339034894, 6.443652856968907e-05, 1.476365797947743e-07, -0.0008679228443845555, 5.267912840162259e-05, 1.1255469660798045e-05, 7.343607030557697e-06, -1.3494708410166645e-05, 0.00010611394673812335, -0.0005321291477044798, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[-1.440364226668045e-06, 5.027201440993556e-06, 2.9149494341351723e-06, 0.00072687430949539, 0.0010794219529822735, -0.002685182974610567, 0.0001934323561194884, 0.0011101143229851063, 0.0008717461802884297, 0.0012643507607106308, -0.00026295970393444557, 0.00018551679185171976, -0.003160089573063324, -9.012081333026334e-06, 7.135167512217766e-06, 6.472476782010128e-06, -1.644854347124247e-05, 0.00020587466323071513, -0.0009573525058039212, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, -1.0460954582264259e-05, 6.117464640964521e-06, 6.047699618816349e-06, -1.6052038433383986e-05, 0.0002059849365579347, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[-2.8318260264781348e-06, -1.2884447628147555e-05, 5.0518165264079595e-06, 0.0019645594773875785, 0.001765154531344959, 3.284686304827478e-05, -0.00245087915162287, 0.0011306454227622276, -0.00021817064906123895, 0.0004874426010557653, -0.0011258627783465314, 0.00030552907121000894, -0.0014737169989758048, -0.00012572038895780624, -1.489835353679636e-05, -0.00010477868599034768, -0.0003297452139786605, 0.001446684556551725, -0.0024475997568048358, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[2.145754626453611e-06, -8.145154042071834e-06, 9.537530449660325e-06, 0.0023017402827619493, 0.002091059601040307, 3.6327284325815556e-05, -0.00294032304312572, 0.0013213625056378853, -0.0003354811699199378, None, -0.0013993704391779827, 0.0003899259867276017, -0.0017334843730436311, -0.00013839071780197276, -1.7883822607062116e-05, -9.411332893535795e-05, -0.0003956894261636923, 0.001731990672819761, -0.002910519197953043, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
