,time
0,0.8166669999999998
1,1.025
2,1.2333339999999997
3,1.4416669999999998
4,1.65
5,1.8583340000000002
6,2.066667
7,2.2749999999999995
8,2.483334
9,2.691667
10,2.8999999999999995
11,3.108334
12,3.316667
13,3.5249999999999995
14,3.733334
15,3.941667
16,4.1499999999999995
17,4.358334
18,4.566667
19,4.7749999999999995
20,4.983334
21,5.191667
22,5.3999999999999995
23,5.608334
24,5.816667
25,6.0249999999999995
26,6.233334
27,6.441667
28,6.6499999999999995
29,6.858334
30,7.066667
31,7.2749999999999995
32,7.483334
33,7.691667
34,7.8999999999999995
35,8.108334
36,8.316666999999999
37,8.524999999999999
38,8.733334
39,8.941666999999999
40,9.149999999999999
41,9.358334
42,9.566666999999999
43,9.774999999999999
44,9.983334
45,10.191666999999999
46,10.399999999999999
47,10.608334
48,10.816666999999999
49,11.024999999999999
50,11.233334
51,11.441666999999999
52,11.649999999999999
53,11.858334
54,12.066666999999999
55,12.274999999999999
56,12.483334
57,12.691666999999999
58,12.899999999999999
59,13.108334
60,13.316666999999999
61,13.524999999999999
62,13.733334
63,13.941666999999999
64,14.149999999999999
65,14.358334
66,14.566666999999999
67,14.774999999999999
68,14.983334
69,15.191666999999999
70,15.399999999999999
71,15.608334
72,15.816666999999999
73,16.025
74,16.233334
75,16.441667
76,16.65
77,16.858334
78,17.066667
79,17.275
80,17.483334
81,17.691667
82,17.9
83,18.108334
84,18.316667
85,18.525
86,18.733334
87,18.941667
88,19.15
89,19.358334
90,19.566667
91,19.775
92,19.983334
93,20.191667
94,20.4
95,20.608334
96,20.816667
97,21.025
98,21.233334
99,21.441667
100,21.65
101,21.858334
102,22.066667
103,22.275
104,22.483334
105,22.691667
106,22.9
107,23.108334
108,23.316667
109,23.525
110,23.733334
111,23.941667
112,24.15
113,24.358334
114,24.566667
115,24.775
116,24.983334
117,25.191667
118,25.4
119,25.608334
120,25.816667
121,26.025
122,26.233334
123,26.441667
124,26.65
125,26.858334
126,27.066667
127,27.275
128,27.483334
129,27.691667
130,27.9
131,28.108334
132,28.316667
133,28.525
134,28.733334
135,28.941667
136,29.15
137,29.358334
138,29.566667
139,29.775000000000002
140,29.983333999999996
141,30.191667
142,30.400000000000002
143,30.608333999999996
144,30.816667
145,31.025000000000002
146,31.233333999999996
147,31.441667
148,31.650000000000002
149,31.858333999999996
150,32.066667
151,32.275000000000006
152,32.483334
153,32.691667
154,32.900000000000006
155,33.108334
156,33.316667
157,33.525000000000006
158,33.733334
159,33.941667
160,34.150000000000006
161,34.358334
162,34.566667
163,34.775000000000006
164,34.983334
165,35.191667
166,35.400000000000006
167,35.608334
168,35.816667
169,36.025000000000006
170,36.233334
171,36.441667
172,36.650000000000006
173,36.858334
174,37.066667
175,37.275000000000006
176,37.483334
177,37.691667
178,37.900000000000006
179,38.108334
180,38.316667
181,38.525000000000006
182,38.733334
183,38.941667
184,39.150000000000006
185,39.358334
186,39.566667
187,39.775000000000006
188,39.983334
189,40.191667
190,40.400000000000006
191,40.608334
192,40.816667
193,41.025000000000006
194,41.233334
195,41.441667
196,41.650000000000006
197,41.858334
198,42.066667
199,42.275000000000006
200,42.483334
201,42.691667
202,42.900000000000006
203,43.108334
204,43.316667
205,43.525000000000006
206,43.733334
207,43.941667
208,44.150000000000006
209,44.358334
210,44.566667
211,44.775000000000006
212,44.983334
213,45.191667
214,45.400000000000006
215,45.608334
216,45.816667
217,46.025000000000006
218,46.233334
219,46.441667
220,46.650000000000006
221,46.858334
222,47.066667
223,47.275000000000006
224,47.483334
225,47.691667
226,47.900000000000006
227,48.108334
228,48.316667
229,48.525000000000006
230,48.733334
231,48.941667
232,49.150000000000006
233,49.358334
234,49.566667
235,49.775000000000006
236,49.983334
237,50.191667
238,50.400000000000006
239,50.608334
240,50.816667
241,51.025000000000006
242,51.233334
243,51.441667
244,51.650000000000006
245,51.858334
246,52.066667
247,52.275000000000006
248,52.483334
249,52.691667
250,52.900000000000006
251,53.108334
252,53.316667
253,53.525000000000006
254,53.733334
255,53.941667
256,54.150000000000006
257,54.358334
258,54.566667
259,54.775000000000006
260,54.983334
261,55.191667
262,55.400000000000006
263,55.608334
264,55.816667
265,56.025000000000006
266,56.233334
267,56.441667
268,56.650000000000006
269,56.858334
270,57.066667
271,57.275000000000006
272,57.483334
273,57.691667
274,57.900000000000006
275,58.108334
276,58.316667
277,58.525000000000006
278,58.733334
279,58.941667
