,transforms
0,"[array([[-0.98723139, -0.18549589, -0.00300614, -0.1306795 ],
       [ 0.15923757, -0.98262006,  0.00769817,  0.242589  ],
       [-0.00419374,  0.00700699,  0.99996585,  0.096275  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.98721744, -0.18556296, -0.00301004, -0.1306775 ],
       [ 0.15932506, -0.98260938,  0.00741027,  0.2425905 ],
       [-0.00415233,  0.00672307,  0.99996801,  0.0962685 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.98723067, -0.18549609, -0.00294978, -0.1306785 ],
       [ 0.15924415, -0.98262113,  0.00752694,  0.242591  ],
       [-0.00411087,  0.00684918,  0.99996732,  0.0962685 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.98723879, -0.18576882, -0.00308705, -0.1306805 ],
       [ 0.15919054, -0.98257026,  0.00745849,  0.2425895 ],
       [-0.00423512,  0.00675523,  0.99996742,  0.096268  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.98737109, -0.18451923, -0.00767618, -0.130622  ],
       [ 0.15817595, -0.9828067 ,  0.0081621 ,  0.2426385 ],
       [-0.00887085,  0.00660578,  0.99993723,  0.0962695 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-0.98713221, -0.18633466, -0.00687005, -0.130778  ],
       [ 0.1596807 , -0.98244302,  0.01069222,  0.2427455 ],
       [-0.00848967,  0.00922511,  0.99991924,  0.096333  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[-0.98688519, -0.18369044, -0.00523433, -0.130894  ],
       [ 0.16131537, -0.98297755,  0.00464094,  0.2425855 ],
       [-0.00591448,  0.00360053,  0.99997553,  0.096215  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.98476283, -0.19996282, -0.00895077, -0.129229  ],
       [ 0.17349988, -0.9796851 ,  0.01737085,  0.2432715 ],
       [-0.01183048,  0.01523105,  0.99980905,  0.096997  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.98826204, -0.17542724, -0.00196429, -0.128236  ],
       [ 0.1525681 , -0.98377651,  0.03847836,  0.2442725 ],
       [-0.00781761,  0.03753739,  0.9992575 ,  0.099929  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.99027373, -0.16112833,  0.0086729 , -0.1279695 ],
       [ 0.13912077, -0.9856984 ,  0.04859656,  0.2446695 ],
       [ 0.00182999,  0.04935918,  0.99878083,  0.102184  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
10,"[array([[-0.9903576 , -0.16008886,  0.01383719, -0.1269165 ],
       [ 0.13851707, -0.98350229,  0.08308692,  0.2462215 ],
       [ 0.00220264,  0.08423069,  0.99644623,  0.10413   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
11,"[array([[-0.99220193, -0.14402131,  0.02265333, -0.127935  ],
       [ 0.12448259, -0.98066682,  0.13057145,  0.2477825 ],
       [ 0.00627818,  0.1324781 ,  0.99118007,  0.1074815 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
12,"[array([[-0.99259836, -0.13617779,  0.0393835 , -0.1273325 ],
       [ 0.12015883, -0.97325856,  0.18126921,  0.250215  ],
       [ 0.01761665,  0.18499564,  0.9826446 ,  0.1120345 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
13,"[array([[-0.99298361, -0.13685474,  0.03092083, -0.1266965 ],
       [ 0.11787917, -0.97320682,  0.18223531,  0.2522115 ],
       [ 0.00938383,  0.18476811,  0.98276864,  0.115408  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
14,"[array([[-0.99420913, -0.12957421,  0.00510257, -0.1282625 ],
       [ 0.10697082, -0.9813643 ,  0.14244114,  0.250623  ],
       [-0.01026887,  0.14189656,  0.98979012,  0.1164485 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
