,LP,LD1,LD2,RP,RD1,RD2
x,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[-2.6952640585205725e-05, 2.003534099281296e-06, -4.713411046392672e-06, -4.098992726699467e-06, 3.941336366409962e-06, 1.8356995762077467e-05, -3.421810062248048e-05, -0.0011120734687863694, -0.0024106938034812882, -0.006313010577110045, -0.014373275112678753, 0.013420769669524988, 0.004211955824895291, 0.005589986875068622, 0.0013678455287270738, 0.005146840408946947, 0.0053524367540128135, -0.007053344752372967, -0.011223946767549306, -0.0021552143512160774, -0.0047515869703739074, -0.011234225705820089, -0.028167044287571216, -0.036372267668174356, -0.06771796678491288, -0.043071861754968986, -0.03619678943667301, -0.0741191804626991, -0.08196649147596488, -0.09184390829207481, -0.10375515091759167, -0.10377745172547878, -0.07473361341826161, -0.030878788409145576, 0.0018555636162029814, -0.008219794168999907, -6.909661184929237e-05, 0.021346863022522724, 0.030600348361168015, 0.0654071301318098, 0.053710566466984494, 0.0625087133392795, 0.06014166634339464, 0.07145634406845257, 0.13428569973322207, 0.14564149576316143, 0.11782973879632827, 0.16203252754024025, 0.1471395099848115, 0.11961224141408082, 0.14482742855621084, 0.11864241826028094, 0.11132165504477388, 0.10509979841364037, 0.09347191521389113, 0.0734660115634708, 0.062260435194524406, 0.06475479324770979, 0.021086801670671278, -0.02309916480017211, -0.037814838813738254, -0.04713978094151195, -0.0790075576657994, -0.11456843073330787, -0.13348870005096572, -0.15623611443897542, -0.14319865611394925, -0.14371452304936747, -0.13735063889973778, -0.10775516778295362, -0.06609079326927995, -0.022367268972300333, -0.005724438814049558, 0.008715500138986036, 0.008081996181958621, -0.04025528145011222, -0.14243349596451516, -0.20881548018298846, -0.20581698331865983, -0.1959782349791952, -0.1515593139646632, -0.054787875226489445, 0.00020509479502607707, 0.0018405730336177731, 0.018982535690456385, 0.08707765476972791, 0.17716153207985647, 0.2250095137975205, 0.2358182226780002, 0.20091376433798172, 0.13985301187797336, 0.10036208770873112, 0.14128366865467962, 0.13427047867163808, 0.10779096169606053, 0.1418844480686668, 0.1316674898754961, 0.11265605805818868, 0.08733394303279463, 0.09352717865489471, 0.19818652087753028, 0.2426845124515443, 0.1960215644901067]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[4.862412928580568e-06, -3.000831112720098e-06, -2.3558194662131938e-05, 1.6792741413831683e-05, -1.7252800347223944e-05, 2.3084970089515527e-05, -2.4496626066251586e-05, -0.0009578083360640124, -0.00234996535957274, -0.006121008482100503, -0.014197762339713762, 0.013858801258669156, 0.004236031049470089, 0.005629457989503554, 0.001289481721536529, 0.005052631843890629, 0.0045038636047134185, -0.00735837476386943, -0.011400913145803725, -0.002682239565821507, -0.005222169548310249, -0.011542971252340191, -0.026982495458190568, -0.0365482790438865, -0.07470127349579701, -0.0553434584741941, -0.04242790815529167, -0.0823639534220658, -0.08146120371699585, -0.09381240904556444, -0.10413641662554465, -0.10766124777779801, -0.07249435000553046, -0.02651594102383062, 0.0037064191099444453, -0.007540533265189081, -1.1797233013101531e-05, 0.021170481118190813, 0.028436000122799784, 0.06829904517369066, 0.055443190978262544, 0.06877128643575248, 0.06410282469958456, 0.07481955045663517, 0.13986986034354032, 0.15130118305010334, 0.11891414290994048, 0.1514629868544896, 0.13243773546011506, 0.11781376297692153, 0.13670376313890423, 0.11377134676923145, 0.10972934423087384, 0.10567560059438116, 0.09348485364396723, 0.07402668837438332, 0.060115506364570755, 0.05964799607270221, 0.02116847174611002, -0.01813251502968413, -0.04086565436637362, -0.06107655782323495, -0.08552817114990588, -0.11916332115223469, -0.1336005498159124, -0.15212057581458427, None, None, -0.11560006212521792, -0.10688473132284841, -0.09089318729088638, -0.06690988302709491, -0.05344262532814338, -0.041943515207353295, -0.025940662848375626, -0.06000534531582135, -0.16636916494154952, -0.2282689682130821, -0.2129587832485091, -0.19011023022753903, -0.15580277080286725, -0.05583923992598667, 0.0005723425760628527, 0.0024535409460609914, 0.017834546886676676, 0.09216122361306615, 0.19260433963250437, 0.2441378642323266, 0.26102669639233994, 0.22787753133616348, 0.19164439095380448, 0.16723099415285178, 0.18584716774781512, 0.14326666263717258, 0.09100128513101927, 0.09388051251585403, 0.0757325229620269, 0.054880191594779026, 0.031709982838885445, 0.05088183292317, 0.15781205584988142, 0.2185632542450247, 0.18602686934574644]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
y,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[-6.4639287413125645e-06, 3.878979515031316e-06, 1.81239813539135e-05, 1.3708817475230744e-06, -4.531225290205821e-05, 3.621382741650354e-05, -2.314940725246208e-05, 0.014625870303400089, 0.1163239087382923, 0.11578488651182002, 0.10226099940496795, 0.09485672988760686, 0.08642840428659831, 0.04693448773067646, -0.009413300414071539, -0.08351053778808272, -0.1547651378772228, -0.1971130613152236, -0.18776831072040673, -0.1977928131043078, -0.15852009209100248, -0.1574952210715571, -0.07592461682351029, -0.04777120884722154, -0.05583605187142293, -0.04627265763346402, -7.697352384098334e-05, 0.05248475952859048, 0.12455502722209442, 0.15417297316082715, 0.17613475641607274, 0.15470677157866022, 0.1536398460841112, 0.10884223348573872, 0.05454702174100756, 0.027047457633595038, -0.00022131916062071924, -0.04478919458419412, -0.11698991229110423, -0.14368119309451385, -0.14470558825384996, -0.13692645200106507, -0.12009266495925618, -0.11440730355648668, -0.061541059248672654, -0.008880369387972405, 0.01969003977545105, 0.014736816541475597, 0.0464876314484112, 0.11687330331524812, 0.12395411580670954, 0.13670033423683436, 0.14830444663102027, 0.14597477731496322, 0.1367416854696715, 0.11133853929280418, 0.08659858309000247, 0.06674011994384096, 0.03178357264752981, -0.0011917611202708835, -0.04348046122548219, -0.11062029638335863, -0.1285324626618832, -0.16160048181356018, -0.1768089540121848, -0.1491787132903803, -0.06214825072236563, -0.0236295729319313, -0.015538399776074418, -0.03829703860565995, -0.062360460107446405, -0.07373056284375355, -0.06849866860651266, -0.07088245553057099, -0.039584296778689125, -0.022885674441430134, -0.05142968962925497, -0.06207785524714998, -0.03659513285021514, -0.011468838051790416, -0.03117667540766933, -0.018696175528060646, 0.0004042214631480889, 0.000531153396713454, 0.003448984479463457, 0.020551533444093672, 0.035483526266624876, 0.02798347244668967, 0.016934297736285655, 0.00827103289591353, 0.08496702647305208, 0.15074686353955094, 0.1584796059732545, 0.08463680246082035, 0.024474951869551526, -0.010863537179453635, -0.044101244640417446, -0.06175560016523855, -0.07328578777478677, -0.08182048721437533, -0.14209167387192273, -0.15628501731133848, -0.09424282858380931]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[-7.926286561593597e-06, 5.3535407084566206e-06, -8.499470099071833e-07, 1.63707301802798e-06, -1.6783322440369352e-05, 3.306414500927325e-06, -1.2481310021557201e-08, 0.016030314693295123, 0.11866263192291801, 0.11835687240124645, 0.10664419098647213, 0.08683912657826931, 0.0850279959083568, 0.0453355768687253, -0.009294770536729625, -0.08403756611635149, -0.1590790265974504, -0.1999336491848733, -0.18791958700485442, -0.20417455921950928, -0.16476133632354287, -0.1589196136957827, -0.06312662365043395, -0.02159701144294367, -0.0023200898010751294, -0.003304505966399276, 0.022142996164558334, 0.07193316185189728, 0.12338590212196941, 0.1540735564920487, 0.17768254750061108, 0.16204708195976295, 0.1500791232847207, 0.10086373883216519, 0.04692655887375757, 0.026163650475737817, -0.00021176065303543648, -0.044672158521170326, -0.11217617941450676, -0.150227787267523, -0.14872778581415594, -0.1439487340887384, -0.12850578595001716, -0.12547707771636948, -0.09056147536930215, -0.051744314095146335, -0.027360924878386417, -0.05092730558521847, 0.0032081760343145803, 0.1117754936266171, 0.1043459703199898, 0.13209699629354663, 0.14578980710078002, 0.14722873467696565, 0.13698283831469968, 0.11220330301937295, 0.08313653659415525, 0.058803095102107225, 0.031247609644607655, 0.007315624634345799, -0.04993951054486204, -0.12883676604692773, -0.1363478208402802, -0.1669311012684655, -0.18440668612962685, -0.14383302747305898, None, None, 0.051889527786826074, 0.0545797005707623, 0.02504069324204423, -0.0005778328103973159, -0.022991438818529015, -0.038214319042458006, -0.02204772455386972, -0.016995319611226925, -0.045554558542963176, -0.06047704735246044, -0.03532964787489184, -0.012347110416010854, -0.03034262283135246, -0.018363069191240273, 0.00027875502479819106, 0.0007789275480533766, 0.003149580024287044, 0.019590138013644023, 0.03490194028489638, 0.022961186566417758, 0.008621559936483721, -0.002670153934588753, 0.052825351975552895, 0.08628001238958027, 0.052104664889525594, -0.024725011103238066, -0.050738652886835184, -0.09816172497358615, -0.10407299202236421, -0.09635920615260687, -0.09339166139759343, -0.08764608392249704, -0.14347757179176143, -0.15432414168024924, -0.09383125762448977]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
z,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[1.1162717568438075e-10, 1.6756197207807825e-06, -2.548002786045993e-05, -1.4223975950100134e-06, 4.544496150796351e-06, -1.2635556541340482e-05, -1.1182568309558327e-05, 4.868508164599192e-05, -3.786559721912028e-05, -1.2692324083977443e-06, 0.00011541987775705081, 0.0008491350396976292, 6.269041455645166e-05, 9.396476207602186e-05, 1.476860002206498e-05, -4.86527114293122e-05, -0.0007620849977893579, -0.00013392127877860467, -0.00012709264543395908, 6.21765395071655e-05, -0.00025258639156313197, 0.00013675405095041386, -0.0003344275327071312, -0.0002945390405158287, -0.0009404506090852812, -8.406554655618376e-05, 0.0006776022748603997, 0.0007668027122509998, -0.00017572723710226708, -0.0029480483285577296, -0.0007183599242708933, -0.0006782819753863528, -0.0003786277007304467, -6.394926904518496e-05, -2.901988034496505e-05, 0.0001070455484389482, 0.00011353375978565006, -0.00010373568556112338, 0.00015924961736799546, 0.00041793894561942453, 0.00042027182073290194, 0.0033912498088502024, -0.0005992338674852093, -0.000405870257488855, -0.0002115190935873809, 0.0011180078226264976, 0.0009949134387701492, 0.0011211641695872607, 0.0011630028136570098, 0.0009782189747343534, 0.0011852464759980416, 0.000915964395610893, 0.0008964551565605634, 0.0009532376153407134, 0.000855763097785283, 0.0005835104083635312, 0.0007314468283971986, 0.0005723804849124931, -0.0007935067860540086, 0.0008647140557030793, -0.00034225514129492695, -0.0012852669333886398, -0.0004455790353645564, -0.0010880743265602583, -0.000276288725288838, -0.0013839300476992192, -0.0013725595004213853, -0.0012835209347584703, -0.0010734413039354754, -0.001088101427968477, 0.00024370856805525605, 0.001040464515005691, -0.0010108864817948923, 0.000238160679844937, 8.689655880302997e-05, -0.0005465034597280311, -0.0014378876432507676, -0.001781227548520394, -0.0008300734302940566, -0.0009632707600194653, 0.00013033581551792468, -0.0003441538440373238, -9.171769323239829e-05, 0.00013712842981773474, 0.00020010744417629236, -0.0007559772914449927, 0.0010391599923831967, 0.0011059641344273925, 0.0021184451848717113, 0.0016246187690058978, 0.0007946265626521172, 0.002945966121579569, -0.0015547598653765623, 0.0011034031634936548, 0.0008454609348019809, 0.0011424026789913688, 0.0017430514533754897, 0.0010608689407684592, 0.001379665247924012, -0.00038051159894377326, 0.0023376634060297188, 0.0011496194725456562, 0.0017011103437043465]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[5.693296796597354e-07, -3.504606216589197e-05, 2.9224277791307132e-05, -1.2602171983635818e-05, 8.609760972868935e-06, -1.278679587864659e-05, 3.354873942910767e-05, -4.801224816186707e-05, 0.0001208900714390379, -1.4927451995062882e-06, -2.1523411070699304e-05, 9.245404636599205e-05, 0.00016223787443074371, 0.0001220316798137626, 2.1718323429730427e-05, -0.00012177822502310132, -5.960047599883294e-05, -0.00020100225488110077, -0.0002723243730710743, -0.0003436968741058943, -1.1894175141408517e-05, -0.00039196248837382845, -0.00024896755940995, -0.0004387757231423199, -0.0003532825896534295, 2.5126624775334864e-05, 0.0007683300343120159, -0.0006220924594003801, -0.0008532193415236001, -0.0003189683213298582, -0.00035388898359984796, -0.000587500700341187, -0.00024206672078197215, -0.00021637720646182368, -0.0017290565432546694, -0.0001232284540385906, 0.000287935014531675, -0.00021845798098021386, 0.0003257404767150282, 0.0005339122037551054, 0.00030804291603027644, 0.0005199339098997408, 0.0020971339053356287, 0.0006213316317130706, 0.0007801199778670481, 0.00010688516318409467, -0.00024051378327870772, 0.00043862795762828995, 0.0010975128327481603, 0.0021017789655238205, 0.002736837893397554, -0.0012402934841690885, 0.0007875788895174598, 0.0007396775454791159, 0.0006238496081176213, 0.000719555035297253, 0.0003285932273949564, 0.00015473361864187254, 0.00026471514539173197, 2.5520602559611066e-05, -0.0003562854338055121, -8.256342395196414e-05, -0.0007223886714510266, -0.0010445450800975556, 0.002227393208539164, -0.001390798415551022, None, None, -0.0011697607392936072, -0.00048419645539401996, -0.0007705416264266702, -0.0008158097630790097, -0.00030449425103979343, -0.0005336479726741711, -2.4024204670970716e-06, 0.0007858918503391445, -0.0013044637550178634, -0.003560079284396331, -0.001763708460345102, -0.0015172881549358475, -0.0011494537937054275, -0.0004451174484478702, 1.8111313048403643e-07, 0.00023652213333995659, -0.000148899271754354, 0.0007994687659484891, 0.003369845031881322, 0.0017533537697736082, 0.0014952583200340723, 0.0012185455840087586, 0.0010569897485159306, 0.001787624946282478, 0.001614355528617471, 0.0011089065508063363, 0.0005247902700365382, 4.7761480284867145e-06, 0.0009054202137199254, 0.00037002237572036835, -0.0005925520083833818, -0.0001370111242552792, 0.0006554793552823276, 0.0006984348421304915, 0.00037949655795167396]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
