,features,labels
0,"[9.576, 0.167, -0.057, 0.073, 0.043, -0.015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.635, 0.174, -0.114, 0.07, 0.043, -0.019, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.74, 0.178, -0.013, 0.068, 0.046, -0.014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.605, 0.179, -0.118, 0.073, 0.046, -0.013, -0.153, 0.153, 0.0, 0.0, 0.0, 0.0, 9.705, 0.178, -0.045, 0.069, 0.045, -0.014, 0.0, 0.153, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False]"
1,"[9.657, 0.185, -0.088, 0.071, 0.045, -0.019, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.496, 0.196, 0.009, 0.07, 0.041, -0.016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.619, 0.172, -0.144, 0.071, 0.044, -0.019, 0.0, 0.0, 0.0, 0.014, 0.0, 0.0, 9.601, 0.182, -0.081, 0.071, 0.044, -0.017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.539, 0.18, -0.133, 0.072, 0.042, -0.014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False]"
2,"[9.641, 0.182, -0.195, 0.067, 0.04, -0.014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.593, 0.184, -0.102, 0.065, 0.042, -0.016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.659, 0.182, -0.162, 0.066, 0.039, -0.016, 0.0, 0.0, -0.153, 0.0, 0.0, 0.0, 9.589, 0.166, -0.033, 0.068, 0.042, -0.011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.635, 0.208, -0.153, 0.065, 0.043, -0.013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False]"
3,"[9.678, 0.189, -0.111, 0.071, 0.044, -0.016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.792, 0.161, -0.151, 0.069, 0.045, -0.017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.614, 0.215, -0.055, 0.072, 0.042, -0.016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.625, 0.166, -0.063, 0.067, 0.041, -0.012, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.788, 0.178, -0.159, 0.066, 0.043, -0.014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[True, True, False, False]"
4,"[9.581, 0.191, 0.029, 0.036, 0.039, -0.041, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.649, 0.109, -0.155, 0.082, 0.044, -0.016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.748, 0.077, -0.192, 0.104, 0.047, -0.029, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.528, 0.321, 0.042, 0.058, -0.001, -0.075, 0.0, 0.0, 0.0, -0.039, 0.0, 0.0, 9.797, 0.029, -0.147, 0.024, 0.019, -0.059, -0.153, 0.153, 0.0, 0.0, 0.0, 0.0]","[True, False, False, False]"
5,"[9.938, -0.471, -0.063, 0.097, 0.046, 0.015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.724, 0.121, 0.029, 0.047, 0.051, -0.029, 0.0, -0.153, 0.153, 0.0, 0.0, 0.0, 10.153, 0.29, 0.253, 0.025, 0.043, -0.035, 0.153, 0.0, 0.0, 0.0, -0.0, 0.0, 8.855, 0.115, 0.066, 0.053, 0.035, -0.028, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.574, -0.003, -0.007, 0.058, 0.042, -0.015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False]"
6,"[9.741, 0.083, 0.029, 0.104, 0.051, 0.006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.609, -0.355, -0.294, 0.091, 0.037, -0.024, 0.0, 0.0, 0.0, -0.039, 0.039, 0.0, 9.486, 0.073, 0.002, 0.062, 0.038, -0.025, 0.0, -0.001, 0.0, 0.0, 0.0, 0.0, 9.718, -0.057, -0.01, 0.094, 0.048, -0.007, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.657, -0.202, -0.09, 0.084, 0.042, -0.015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[True, False, False, False]"
7,"[9.696, 0.023, -0.022, 0.105, 0.047, 0.006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.571, -0.267, -0.101, 0.079, 0.04, -0.024, 0.0, 0.0, 0.0, 0.0, 0.039, 0.0, 9.629, -0.006, -0.013, 0.066, 0.044, -0.012, 0.0, 0.0, 0.0, 0.0, -0.039, 0.0, 9.634, -0.237, -0.103, 0.037, 0.041, -0.044, -0.153, 0.153, 0.0, 0.0, -0.039, 0.039, 9.424, -0.014, 0.005, 0.064, 0.044, -0.024, 0.153, 0.0, 0.0, 0.0, 0.0, 0.0]","[True, True, False, False]"
8,"[9.677, 0.8, 0.404, 0.106, 0.048, -0.014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.645, 0.986, 0.305, 0.056, 0.042, -0.016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.653, 0.901, 0.304, 0.043, 0.042, -0.016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.806, 0.409, -0.066, 0.037, 0.044, -0.015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.715, 0.161, -0.16, 0.047, 0.043, -0.014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[True, True, True, True]"
