,transforms
22,"[array([[-0.54902695,  0.83306358, -0.00342469, -0.104594  ],
       [-0.83579309, -0.55317598, -0.00300901,  0.4260095 ],
       [-0.0043952 ,  0.00118848,  0.99998961,  0.235987  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
23,"[array([[-0.54896003,  0.83308762, -0.00334924, -0.1045935 ],
       [-0.83583726, -0.5531399 , -0.00300883,  0.426011  ],
       [-0.00435354,  0.00112592,  0.99998986,  0.235988  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
24,"[array([[-0.54902705,  0.83298213, -0.00332391, -0.104596  ],
       [-0.83579324, -0.55329881, -0.0030256 ,  0.426008  ],
       [-0.00435374,  0.00109471,  0.9999899 ,  0.2359875 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
25,"[array([[-0.54906644,  0.83305882, -0.00331309, -0.104595  ],
       [-0.83576842, -0.55318308, -0.00278419,  0.42601   ],
       [-0.00414609,  0.00121984,  0.99999064,  0.2359885 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
26,"[array([[-0.54895105,  0.83305406, -0.00332635, -0.1045955 ],
       [-0.83584338, -0.55319044, -0.0029738 ,  0.4260105 ],
       [-0.00431168,  0.00112596,  0.99999005,  0.235989  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
27,"[array([[-0.54908527,  0.83304919, -0.00330672, -0.104594  ],
       [-0.83575563, -0.55319771, -0.00288773,  0.426011  ],
       [-0.00422915,  0.00115719,  0.99999036,  0.2359905 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
28,"[array([[-0.54903728,  0.83301568, -0.00335938, -0.1045965 ],
       [-0.83578716, -0.55324803, -0.00285317,  0.4260155 ],
       [-0.0042291 ,  0.00121992,  0.99999029,  0.2359895 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
29,"[array([[-0.54893126,  0.83300597, -0.0034086 , -0.1045995 ],
       [-0.83585658, -0.55326259, -0.0028708 ,  0.4260145 ],
       [-0.00427071,  0.00125109,  0.99999007,  0.235991  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
30,"[array([[-0.54900851,  0.83301544, -0.00341803, -0.104598  ],
       [-0.83580648, -0.55324811, -0.00271559,  0.4260155 ],
       [-0.00414628,  0.00134488,  0.99999047,  0.2359905 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
31,"[array([[-0.54902735,  0.83303472, -0.00335923, -0.104595  ],
       [-0.83579369, -0.55321937, -0.00285357,  0.4260155 ],
       [-0.00422935,  0.00121972,  0.99999029,  0.2359905 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
32,"[array([[-0.5489889 ,  0.83299646, -0.00342506, -0.104597  ],
       [-0.83581808, -0.55327705, -0.00300846,  0.4260165 ],
       [-0.0043949 ,  0.00118857,  0.99998961,  0.235992  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
33,"[array([[-0.54893126,  0.83300606, -0.00333017, -0.1045975 ],
       [-0.83585658, -0.55326265, -0.00292231,  0.4260175 ],
       [-0.00427071,  0.00115726,  0.99999018,  0.2359915 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
34,"[array([[-0.54896033,  0.83306839, -0.00335904, -0.1045995 ],
       [-0.83583771, -0.55316867, -0.00285358,  0.426016  ],
       [-0.00422915,  0.00121981,  0.99999029,  0.2359905 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
35,"[array([[-0.54909605,  0.83301081, -0.003385  , -0.104598  ],
       [-0.83574856, -0.5532553 , -0.00283524,  0.426015  ],
       [-0.00422828,  0.00125114,  0.99999025,  0.235991  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
36,"[array([[-0.54910494,  0.83301568, -0.00340495, -0.1045965 ],
       [-0.83574229, -0.55324803, -0.00292179,  0.4260145 ],
       [-0.00431158,  0.00121992,  0.99998993,  0.2359915 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
37,"[array([[-0.54896033,  0.83310197, -0.00333265, -0.1045935 ],
       [-0.83583771, -0.55311816, -0.00287091,  0.4260125 ],
       [-0.00422915,  0.00118849,  0.99999033,  0.235991  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
38,"[array([[-0.54911394,  0.83310675, -0.00345356, -0.104593  ],
       [-0.83573616, -0.55311082, -0.00293992,  0.426012  ],
       [-0.00435344,  0.0012511 ,  0.99998971,  0.235991  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
39,"[array([[-0.54903794,  0.83297247, -0.00337898, -0.1045985 ],
       [-0.83578631, -0.55331317, -0.00293873,  0.426011  ],
       [-0.00431138,  0.00118858,  0.99998997,  0.23599   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
40,"[array([[-0.54921011,  0.83299178, -0.00330395, -0.104597  ],
       [-0.83567339, -0.55328421, -0.00293897,  0.426011  ],
       [-0.00427062,  0.00112609,  0.99999022,  0.235989  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
41,"[array([[-0.5489888 ,  0.83307329, -0.00342136, -0.104596  ],
       [-0.83581793, -0.55316142, -0.0030605 ,  0.4260165 ],
       [-0.00443636,  0.00115731,  0.99998946,  0.2359905 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
42,"[array([[-0.54898002,  0.83302535, -0.00332653, -0.104597  ],
       [-0.83582435, -0.55323368, -0.00297351,  0.4260155 ],
       [-0.00431158,  0.00112605,  0.99999005,  0.235989  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
43,"[array([[-0.54892112,  0.8330587 , -0.00342805, -0.1045975 ],
       [-0.83586282, -0.55318325, -0.00295756,  0.426015  ],
       [-0.00435388,  0.00121971,  0.99998975,  0.2359915 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
44,"[array([[-0.54912397,  0.83303503, -0.00332653, -0.104597  ],
       [-0.83572979, -0.5532191 , -0.00297347,  0.4260165 ],
       [-0.00431173,  0.00112615,  0.99999005,  0.235988  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
45,"[array([[-0.54904732,  0.83306835, -0.00336202, -0.1045965 ],
       [-0.83578078, -0.55316865, -0.00280152,  0.426014  ],
       [-0.0041874 ,  0.00125109,  0.99999042,  0.23599   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
