,LP,LD1,LD2,RP,RD1,RD2
x,"[None, None, None, None, None, None, None, None]","[0.0017278492253689933, 0.001785707391618627, 0.0016954794938350032, 0.0017322760648132754, 0.0017760496011324713, 0.001724758606539172, 0.0016994322791099702, 0.001788295643112493]","[0.0008374803986158663, 0.0008968349250592088, 0.000798032327849063, 0.000844604336257154, 0.0008666589432710814, 0.0008448947996584629, 0.0008094488090397114, 0.0008955316823976206]","[-0.00266033332885079, -0.002591929074979463, -0.002635285357945106, -0.0026755598148241163, -0.0026092929508000277, -0.0026348456551897126, -0.0026385840131791473, -0.0025939209104759295]","[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]"
y,"[None, None, None, None, None, None, None, None]","[0.000825893739154857, 0.0007922990720844777, 0.0007885128878162355, 0.0007688127621338882, 0.0007630240992533984, 0.0007901820177017358, 0.0008277129363079885, 0.0007737446225088849]","[0.001972858942601364, 0.0019376551508601702, 0.0019434613473574645, 0.00191279265362373, 0.0019335227544774545, 0.001923785215479257, 0.0019737152574722913, 0.0019239406079467319]","[0.0002449363149646832, 0.00023083701337018307, 0.0002713882225184935, 0.00017232174238014406, 0.0002593230249760395, 0.0002039039320517065, 0.0002807400972797954, 0.00022124840587248211]","[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]"
z,"[None, None, None, None, None, None, None, None]","[5.097542352046322e-05, -2.2445314301182735e-06, 2.891118147283568e-05, 3.0277417938011647e-05, 1.109025095600117e-05, 3.271963716443286e-05, 4.3954101409970624e-05, -1.7965175259076015e-05]","[4.805758456155662e-05, 1.4526218708304942e-05, 2.8874333483274796e-05, 1.766827857664051e-05, 2.4238269394216327e-05, 1.309532045091014e-05, 5.107734630198193e-05, 1.3719620636393583e-06]","[-7.520722993517793e-05, 1.8351415206144536e-05, -3.500159864653642e-05, -8.762189575015525e-05, 2.5447000902014715e-05, -3.831918078590288e-05, -5.341206629763697e-05, 4.195056163730403e-05]","[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]"
