,transforms
23,"[array([[-0.97295507,  0.23774862, -0.00258197, -0.103384  ],
       [-0.23082607, -0.97098109, -0.02730623,  0.1286295 ],
       [-0.00881845, -0.02590972,  0.99962378,  0.093988  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
24,"[array([[-0.98951853,  0.15267786, -0.01284773, -0.11336   ],
       [-0.14389496, -0.98825827,  0.00400587,  0.146776  ],
       [-0.01213774,  0.00592094,  0.99990944,  0.0937285 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
25,"[array([[-0.98651361,  0.17049126, -0.01767065, -0.134704  ],
       [-0.16286446, -0.98531033,  0.0068998 ,  0.1663715 ],
       [-0.01631154,  0.0098129 ,  0.99982005,  0.093653  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
26,"[array([[-0.98250903,  0.19453682, -0.016054  , -0.140816  ],
       [-0.18563805, -0.98085312,  0.00607922,  0.172015  ],
       [-0.01464683,  0.00908725,  0.99985265,  0.0936595 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
27,"[array([[-0.98243018,  0.19466006, -0.01619276, -0.140816  ],
       [-0.18603145, -0.98083595,  0.00521045,  0.171904  ],
       [-0.01494111,  0.00826387,  0.99985531,  0.0936725 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
28,"[array([[-0.98244647,  0.19463687, -0.01594021, -0.1407925 ],
       [-0.18595875, -0.98084446,  0.00477457,  0.1718095 ],
       [-0.01477458,  0.00778674,  0.99986155,  0.093686  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
29,"[array([[-0.98241512,  0.19452196, -0.01632462, -0.140782  ],
       [-0.18608059, -0.98087321,  0.00389498,  0.1716945 ],
       [-0.01531493,  0.00699697,  0.99985916,  0.0936805 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
30,"[array([[-0.98236404,  0.19449798, -0.0161731 , -0.1407985 ],
       [-0.18636381, -0.98087752,  0.00398791,  0.171678  ],
       [-0.01514677,  0.00705827,  0.99986125,  0.0936795 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
31,"[array([[-0.98237609,  0.19457605, -0.0153507 , -0.1407255 ],
       [-0.18637618, -0.98085703,  0.00482808,  0.1717025 ],
       [-0.01418216,  0.00772353,  0.99987051,  0.093739  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
32,"[array([[-0.98238615,  0.19466704, -0.01532944, -0.1407165 ],
       [-0.18632616, -0.98083821,  0.0049289 ,  0.17172   ],
       [-0.01414288,  0.00781961,  0.99987035,  0.0937505 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
33,"[array([[-0.98240284,  0.19463034, -0.01522665, -0.140707  ],
       [-0.18624782, -0.98084448,  0.00507873,  0.1717205 ],
       [-0.0140146 ,  0.00794603,  0.99987117,  0.0937515 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
34,"[array([[-0.98237818,  0.19477053, -0.01527134, -0.1407115 ],
       [-0.18637443, -0.98081666,  0.00506706,  0.1717205 ],
       [-0.01405968,  0.0079453 ,  0.99987055,  0.0937535 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
35,"[array([[-0.98243199,  0.19468488, -0.01523824, -0.1407115 ],
       [-0.18609392, -0.98083313,  0.00514114,  0.1717185 ],
       [-0.01401562,  0.00801029,  0.99987067,  0.0937545 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
36,"[array([[-0.98238199,  0.19462444, -0.01529328, -0.140714  ],
       [-0.18635134, -0.98084642,  0.00496853,  0.171723  ],
       [-0.01409978,  0.00785082,  0.99987071,  0.093757  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
37,"[array([[-0.98239227,  0.19475212, -0.01523364, -0.14071   ],
       [-0.18630351, -0.98082005,  0.00510764,  0.1717225 ],
       [-0.01401565,  0.00797749,  0.99987092,  0.093759  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
38,"[array([[-0.98239846,  0.19471542, -0.01525769, -0.1407095 ],
       [-0.18627078, -0.9808263 ,  0.00523227,  0.171721  ],
       [-0.01401633,  0.00810391,  0.9998699 ,  0.09376   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
39,"[array([[-0.98238819,  0.19466718, -0.01529933, -0.140709  ],
       [-0.18631861, -0.98083769,  0.00499812,  0.1717225 ],
       [-0.01410047,  0.00788165,  0.99987047,  0.0937605 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
40,"[array([[-0.98237542,  0.19456967, -0.01502517, -0.1407125 ],
       [-0.18640781, -0.98085652,  0.00511839,  0.171727  ],
       [-0.01380799,  0.00794485,  0.99987402,  0.0937595 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
41,"[array([[-0.98240523,  0.19463648, -0.01517615, -0.140708  ],
       [-0.18623816, -0.98084377,  0.00502438,  0.171726  ],
       [-0.01397518,  0.00788297,  0.99987221,  0.0937605 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
42,"[array([[-0.98240435,  0.19477028, -0.01517645, -0.1407095 ],
       [-0.18624592, -0.98081541,  0.00524726,  0.1717285 ],
       [-0.01393392,  0.00810356,  0.99987106,  0.093761  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
43,"[array([[-0.98238642,  0.19475244, -0.01522411, -0.1407095 ],
       [-0.18633415, -0.98082051,  0.00504369,  0.171733  ],
       [-0.01401795,  0.00791291,  0.99987139,  0.093762  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
44,"[array([[-0.98237934,  0.19468526, -0.01518367, -0.140711  ],
       [-0.18637465, -0.98083384,  0.00505385,  0.171732  ],
       [-0.01397601,  0.00791403,  0.99987195,  0.093761  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
45,"[array([[-0.98240204,  0.19462435, -0.01530571, -0.14071   ],
       [-0.18624548, -0.98084593,  0.0050306 ,  0.171731  ],
       [-0.01410126,  0.00791413,  0.99987021,  0.093763  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
46,"[array([[-0.98235577,  0.19450272, -0.01523153, -0.1407135 ],
       [-0.18649571, -0.9808698 ,  0.00507825,  0.1717295 ],
       [-0.01401751,  0.0079447 ,  0.9998711 ,  0.0937635 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
47,"[array([[-0.98237199,  0.19472794, -0.01527685, -0.140712  ],
       [-0.18640716, -0.98082486,  0.0050984 ,  0.1717295 ],
       [-0.01405899,  0.0079765 ,  0.9998703 ,  0.093762  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
48,"[array([[-0.98239789,  0.19467302, -0.01528107, -0.14071   ],
       [-0.18627067, -0.9808355 ,  0.00513098,  0.17173   ],
       [-0.01405816,  0.0080085 ,  0.99987007,  0.0937625 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
49,"[array([[-0.98239195,  0.19476424, -0.0151756 , -0.1407065 ],
       [-0.18631139, -0.98081661,  0.00524726,  0.17173   ],
       [-0.01393256,  0.00810331,  0.99987108,  0.093763  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
50,"[array([[-0.98240758,  0.19469116, -0.01523929, -0.140708  ],
       [-0.18622274, -0.98083189,  0.00513977,  0.1717305 ],
       [-0.01401587,  0.00800925,  0.99987066,  0.0937635 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
51,"[array([[-0.98239846,  0.19475197, -0.01525173, -0.140707  ],
       [-0.18627078, -0.9808193 ,  0.00520086,  0.1717315 ],
       [-0.01401633,  0.00807246,  0.99987016,  0.0937645 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
52,"[array([[-0.98237526,  0.19472776, -0.01527286, -0.1407095 ],
       [-0.18638975, -0.98082514,  0.00506824,  0.171733  ],
       [-0.01406083,  0.00794613,  0.99987052,  0.0937645 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
53,"[array([[-0.98239527,  0.19477658, -0.01535176, -0.1407085 ],
       [-0.18627811, -0.98081545,  0.00505125,  0.171732  ],
       [-0.01414241,  0.00794554,  0.9998694 ,  0.0937655 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
54,"[array([[-0.98240284,  0.1945877 , -0.01523846, -0.1407095 ],
       [-0.18624782, -0.98085243,  0.00514108,  0.1717305 ],
       [-0.0140146 ,  0.0080089 ,  0.99987067,  0.0937625 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
55,"[array([[-0.98237282,  0.19467887, -0.01514306, -0.140711  ],
       [-0.18641525, -0.9808333 ,  0.00528763,  0.1717335 ],
       [-0.01389223,  0.00813536,  0.99987136,  0.0937625 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
56,"[array([[-0.98237021,  0.19473388, -0.01520785, -0.14071   ],
       [-0.1864227 , -0.98082316,  0.00517681,  0.171733  ],
       [-0.01397647,  0.00804005,  0.99987095,  0.093761  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
57,"[array([[-0.9823684 ,  0.19463677, -0.01517042, -0.1407115 ],
       [-0.18643244, -0.98084398,  0.00499195,  0.1717335 ],
       [-0.01397406,  0.00785004,  0.99987246,  0.093761  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
58,"[array([[-0.98238565,  0.19458765, -0.01503863, -0.1407085 ],
       [-0.18635419, -0.98085218,  0.00521302,  0.1717325 ],
       [-0.01380401,  0.00804055,  0.99987332,  0.09376   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
59,"[array([[-0.9824031 ,  0.19466099, -0.01510975, -0.140707  ],
       [-0.1862558 , -0.98083815,  0.0051324 ,  0.17173   ],
       [-0.0138897 ,  0.00797635,  0.99987267,  0.093761  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
60,"[array([[-0.98239496,  0.19462406, -0.01527101, -0.1407095 ],
       [-0.18628599, -0.98084572,  0.00507107,  0.1717305 ],
       [-0.01405932,  0.00794707,  0.99987053,  0.0937615 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
61,"[array([[-0.98240851,  0.19474003, -0.01519504, -0.14071   ],
       [-0.18622073, -0.98082246,  0.00511498,  0.1717285 ],
       [-0.01397702,  0.007977  ,  0.99987147,  0.093762  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
62,"[array([[-0.98239174,  0.19467307, -0.01519623, -0.14071   ],
       [-0.18630918, -0.98083575,  0.00511556,  0.17173   ],
       [-0.01397737,  0.00797685,  0.99987144,  0.093761  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
63,"[array([[-0.98237788,  0.19470985, -0.01518983, -0.140712  ],
       [-0.18638231, -0.98082871,  0.00508293,  0.171728  ],
       [-0.01397658,  0.00794411,  0.99987171,  0.0937595 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
64,"[array([[-0.98236605,  0.19460592, -0.01517791, -0.140712  ],
       [-0.18644787, -0.98084804,  0.00524908,  0.1717335 ],
       [-0.01393338,  0.0081033 ,  0.99987103,  0.093764  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
65,"[array([[-0.98237571,  0.19464237, -0.01522041, -0.1407075 ],
       [-0.18639413, -0.98084054,  0.00527259,  0.171733  ],
       [-0.01397119,  0.00813516,  0.99987026,  0.0937655 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
