,LP,LD1,LD2,RP,RD1,RD2
x,"[None, None, None, None, None, None, None, None, None, None, None, None]","[2.583850405782906e-05, -2.7943492114440584e-05, 3.567921185218537e-05, 4.441125915299882e-07, -1.4117628285820196e-05, -1.1967534267232073e-05, 0.0017105710361474515, -0.0007026804463977188, 0.0021466922619499955, -0.0008858243359559649, -0.0016610711554908288, 0.0017983357806808267]","[None, None, None, None, None, None, None, None, None, None, None, None]","[2.5724505646215758e-05, -1.3835367889064588e-05, -1.7048281759196595e-05, 4.180794012723089e-06, 3.984983877824977e-07, 0.00020164662942291913, -0.00028311549460191825, -0.0001778885658178825, 0.0016228325278793783, -0.0006573198170035295, 0.007212446603122528, None]","[-3.865475520212215e-06, -1.5377686162554306e-06, 1.1466629784154248e-05, -3.0133180264130257e-05, -0.00010281873831178568, 0.00011715126860025462, 0.00024893814604219356, -0.00014322968742983556, 0.0020090358531974525, -0.00037278172184941063, 0.007239135798877692, 0.009055304533083062]","[8.668492855232192e-06, -1.2081243651693165e-05, -3.873552226410504e-06, -2.2530473606158234e-05, 4.539245014451299e-05, -2.7094462126833754e-05, 0.00028083133482333106, -0.0001741802301976292, 0.002484566296932406, None, 0.01033199360191956, 0.01228059108512698]"
y,"[None, None, None, None, None, None, None, None, None, None, None, None]","[3.5145340935849316e-06, 4.370514141086024e-06, -2.450715034227336e-06, -2.2681624974846273e-06, -1.1634517760786279e-05, -3.959197127645365e-06, -5.346426934135507e-05, 3.498982900777548e-05, -2.7608813829832494e-05, 0.00018450595589162013, 0.0013416439369992874, -0.0010462603179691055]","[None, None, None, None, None, None, None, None, None, None, None, None]","[2.3480479058816954e-05, -2.5411002946841567e-05, -1.0596747932790918e-05, -1.3219392393809538e-05, -3.702912226245803e-06, 0.0002996163931020424, -0.0009036726685508577, 0.0006646791893928362, -0.0010156435240053845, -0.00023014559407172344, 0.004816221390450419, None]","[8.35971834255711e-06, -1.7636822627370432e-06, -3.2473036244198844e-05, 2.3334770850369505e-05, -4.686517226979715e-05, 1.9211793087642318e-05, 5.155020912533948e-06, -9.621084266581149e-07, 4.97699851762401e-05, -4.365226633094022e-05, 0.005321028466354564, 0.0024173478844663563]","[1.4918076463102394e-05, -7.2202382575797814e-06, -4.072310230328613e-05, 2.669065097762047e-05, 3.806774788752132e-05, -6.344436505362207e-05, 2.3504155740919354e-05, -1.827738429534265e-05, 0.0003143835645916249, None, 0.00693813578681384, 0.004551603659534085]"
z,"[None, None, None, None, None, None, None, None, None, None, None, None]","[-4.268208485158632e-06, 9.368960808106564e-06, -1.463645570302097e-05, 1.4131853840748667e-05, -1.3800601139607461e-05, 9.705601362600126e-06, 0.00039692958545297925, -0.00011084961721120335, 0.0006620745941263996, -4.822262886407525e-05, 0.00019859825728411055, 0.0020948008124942355]","[None, None, None, None, None, None, None, None, None, None, None, None]","[3.4839480420406637e-06, -5.415712504605597e-06, -2.0643624965760447e-06, 1.3126692447804068e-05, -1.888444303162207e-05, 0.00010174511491884143, 0.000546896622702034, -0.00036137404440374503, -0.00026024642615544996, -0.00015446367614476987, 0.00021361172299133317, None]","[1.1187295702777546e-05, -1.111603197527511e-05, 8.421210079267994e-09, 1.5032486887223143e-07, 2.6361084248346937e-05, -2.680103717608018e-05, 4.711055230988138e-06, -1.1891666457239381e-05, 0.00016041181718065846, -5.820144369587666e-05, 0.00023219632964809614, -2.8453635247868705e-05]","[2.1910279395204182e-05, -2.1722124051920537e-05, -7.4676371055820706e-06, 2.2869766433786246e-05, -4.3131499232931807e-05, 3.4656308188138477e-05, -1.0168418198422403e-05, -8.778010124960157e-06, 0.00010698920631141697, None, 0.00024324858128592643, -9.851339904911051e-05]"
