,time
0,0.8833339999999998
1,1.091667
2,1.3
3,1.5083339999999998
4,1.716667
5,1.925
6,2.1333339999999996
7,2.341667
8,2.55
9,2.7583340000000005
10,2.966667
11,3.3833340000000005
