,transforms
22,"[array([[ 0.44490645, -0.88865293, -0.0054058 ,  0.2492365 ],
       [ 0.89557007,  0.45856093, -0.00126335,  0.2339695 ],
       [ 0.00353655, -0.00422462,  0.99998459,  0.238053  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
23,"[array([[ 0.4449892 , -0.88864096, -0.00529216,  0.2492305 ],
       [ 0.89552895,  0.45858527, -0.00131866,  0.2339675 ],
       [ 0.0035359 , -0.00409817,  0.99998513,  0.238051  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
24,"[array([[ 0.44500525, -0.88869188, -0.00538641,  0.2492335 ],
       [ 0.89552114,  0.45848544, -0.00122669,  0.2339695 ],
       [ 0.00349556, -0.00422451,  0.99998474,  0.23805   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
25,"[array([[ 0.4449227 , -0.88865375, -0.00544301,  0.2492365 ],
       [ 0.89556166,  0.45855933, -0.00133676,  0.2339735 ],
       [ 0.00361893, -0.00422403,  0.99998429,  0.238051  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
26,"[array([[ 0.44487384, -0.88861522, -0.0052923 ,  0.2492335 ],
       [ 0.89558721,  0.45863401, -0.00104448,  0.233972  ],
       [ 0.00328988, -0.00422385,  0.99998545,  0.238051  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
27,"[array([[ 0.4450872 , -0.88870519, -0.0053864 ,  0.2492335 ],
       [ 0.89547941,  0.45846078, -0.0015018 ,  0.23397   ],
       [ 0.0037423 , -0.00409847,  0.99998437,  0.238048  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
28,"[array([[ 0.44477418, -0.88871164, -0.00539619,  0.249237  ],
       [ 0.89563608,  0.45844684, -0.001178  ,  0.2339715 ],
       [ 0.0034552 , -0.00425568,  0.99998475,  0.2380485 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
29,"[array([[ 0.44498906, -0.88858206, -0.00538694,  0.249235  ],
       [ 0.89552918,  0.45869825, -0.00122601,  0.233967  ],
       [ 0.00349511, -0.00422444,  0.99998474,  0.238051  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
30,"[array([[ 0.44482394, -0.88871827, -0.00541453,  0.2492355 ],
       [ 0.89561121,  0.458434  , -0.0012139 ,  0.2339705 ],
       [ 0.00349575, -0.00425556,  0.9999846 ,  0.2380505 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
31,"[array([[ 0.44484007, -0.88869241, -0.00530213,  0.2492355 ],
       [ 0.89560367,  0.45848471, -0.00113272,  0.233972  ],
       [ 0.00337312, -0.00419269,  0.9999853 ,  0.2380495 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
32,"[array([[ 0.44488978, -0.88865997, -0.00542437,  0.249237  ],
       [ 0.89557818,  0.45854728, -0.00130036,  0.233967  ],
       [ 0.00357787, -0.00422421,  0.99998444,  0.238052  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
33,"[array([[ 0.44487371, -0.88864759, -0.00541423,  0.249231  ],
       [ 0.89558696,  0.4585704 , -0.00107574,  0.2339725 ],
       [ 0.00337212, -0.00431811,  0.99998476,  0.2380505 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
34,"[array([[ 0.44493997, -0.88858911, -0.00536759,  0.2492295 ],
       [ 0.89555373,  0.4586846 , -0.00118954,  0.2339665 ],
       [ 0.00345361, -0.00422402,  0.99998489,  0.238049  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
35,"[array([[ 0.44497227, -0.88871094, -0.0053866 ,  0.249235  ],
       [ 0.89553753,  0.45844848, -0.00122684,  0.2339725 ],
       [ 0.00349562, -0.00422475,  0.99998474,  0.238052  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
36,"[array([[ 0.44492278, -0.88871792, -0.00539593,  0.2492315 ],
       [ 0.89556129,  0.45843582, -0.00145161,  0.2339695 ],
       [ 0.00370084, -0.00413005,  0.99998439,  0.2380495 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
