,Left IMU Signal,Right IMU Signal
ax,"[9.62, 9.64, 9.809, 9.828]","[0.151, 0.099, 0.129, 0.182]"
ay,"[-0.055, -0.064, 0.098, 0.044]","[0.07, 0.073, 0.068, 0.012]"
az,"[0.032, 0.043, 0.045, 0.029]","[-0.069, -0.02, -0.013, -0.062]"
gx,"[9.741, 9.755, 9.755, 12.37]","[0.095, 0.081, -0.102, 0.54]"
gy,"[-0.145, -0.24, -0.255, -2.118]","[0.012, 0.02, 0.019, -0.044]"
gz,"[-0.009, -0.004, -0.0, 0.174]","[-0.029, -0.035, -0.046, 0.083]"
