,LP,LD1,LD2,RP,RD1,RD2
x,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[2.0174299542285914e-05, -1.126222499030086e-05, -5.75888025513855e-07, -6.661463605734785e-06, -0.0008833895369403503, None, -0.003393121114760439, -0.004047419963857312, 0.0018132244539537969, -0.002259353206977602, 0.0014983496147438317, -0.0012450782772530644, -0.002539519716786844, -0.00039875758398444025, -0.0019310423919992707, 0.0005720752567658013, -7.03313026942029e-05, -0.0006044207327273628, 0.014286723963349596, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[1.0812390613290646e-05, -1.0089475688257465e-06, 3.0128445413502014e-07, -5.191106624488628e-06, -3.1759596244781974e-05, 0.0006171828184673295, -0.0022608456224947893, -0.0020015566723372707, 0.0010383104040929958, -0.0013031169528834319, 0.001863273455272374, -0.0006272390565908587, -0.002987457618978173, -0.000573367341177744, -0.0019698285090699874, 0.00031295701647053586, -0.00045969741742457604, -0.0005874953595058074, -0.02386489805385973, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
y,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[1.0918440467577728e-05, -1.3180923103428555e-05, 3.4596253297158874e-06, 8.171640459575524e-06, -0.0009664165097778565, None, -0.00023317212257556452, -0.0024185345730480257, -0.0009795590989166159, -0.0018385413008933371, -0.00032461313799003744, -0.0008310835896870872, -0.0009584825779255235, -0.00031670669599365153, -0.0004026422263841978, -0.0007546537758362226, -7.876362352238209e-05, -0.0002728380519423368, -0.0005874738886947894, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[-5.065854618846455e-06, 1.685730285694298e-06, -5.394401677571992e-07, -1.0951540042047903e-06, 5.0512602027985576e-05, 0.0001383674293778947, 0.00021929485422012007, -0.0008264991373180819, -8.428888848621696e-05, -0.001012302292384637, 0.00038672814332452177, -0.00030112340992832776, -0.0007067638030484047, -0.0001775861551111535, -0.00024314493264232517, 0.00027636416937670827, 0.00021281901172426343, -0.0010436053951582425, -0.002941133494589465, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
z,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[-5.1049317165985375e-06, 2.2151238038281562e-06, -3.09736128645266e-06, -9.324209538502659e-06, 0.0016094007501851193, None, 1.9102692079997485e-05, -0.0027386738054293036, 0.0007582379905573533, 0.0011523410722921457, -8.997613391847903e-07, -0.002111059361666917, 0.0003614882424249899, 7.645397490937955e-05, 0.0014169500176492433, -0.0021169769903405244, -0.0016979077207252835, 0.0004469174999606196, -0.002238641103673805, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[5.6516619906799015e-06, -4.623219928806543e-06, 7.326213718794605e-06, 6.645698187396354e-06, 0.001374695787929897, 0.00108020023567168, -0.0003569474086578539, -0.0019516596212034998, 0.0009002420204744233, 0.0014577532041857855, 0.000846686778635114, -0.0004270367086140481, -0.0004921903420230522, -0.00015508323290155945, 0.0001609771476809574, -0.002384701909060094, -0.0021926034091847846, 0.0011777903683584667, -0.0026642475647356556, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
