,Left IMU Signal,Right IMU Signal
ax,"[9.739, 9.784, 9.67, 9.634, 9.69, 9.659, 9.86, 9.538, 9.595, 8.989, 9.464, 10.135, 9.621, 9.652, 9.715, 9.558, 9.715, 9.682, 9.707, 9.596, 9.554, 9.567, 9.407, 9.781, 9.636, 9.492, 9.496, 10.003, 10.35, 9.453, 14.553, 9.981, 9.806, 10.677, 8.104, 9.564, 9.662, 9.589, 9.597, 9.76, 9.63, 9.643, 9.62, 9.709, 9.684, 9.766, 9.577, 9.643, 9.691, 9.68, 9.639, 9.583, 9.723, 9.654, 9.542, 9.647, 9.653, 9.695, 9.615, 9.626, 9.668, 9.699, 9.657, 9.654, 9.701, 9.666, 9.601, 9.648, 9.634, 9.657, 9.645, 9.693, 9.641, 9.714, 9.626, 9.611, 9.632, 9.622, 9.662, 9.645, 9.626, 9.618, 9.629, 9.66, 9.644, 9.61, 9.656, 9.636, 9.64, 9.619, 9.72, 9.693, 9.65, 9.651, 9.702, 9.589, 9.679, 9.663, 9.686, 9.628, 9.677, 9.676, 9.592, 9.604, 9.667, 9.645, 9.648, 9.661, 9.799, 9.689, 9.638, 9.663, 9.702, 9.659, 9.615, 9.675, 9.595, 9.671, 9.695, 9.683, 9.678, 9.612, 9.705, 9.648, 9.66, 9.584, 9.683, 9.623]","[0.118, 0.086, 0.106, 0.144, 0.145, 0.111, 0.135, 0.135, 0.06, -0.06, 0.278, 0.149, 0.176, 0.095, 0.193, 0.12, 0.161, 0.272, 0.163, 0.07, 0.277, 0.404, 0.291, 0.224, 0.16, 0.258, 0.001, -0.117, 3.125, 0.771, -0.212, 0.562, -0.004, 0.354, -2.083, 0.022, 0.143, 0.119, 0.122, 0.104, 0.129, 0.12, 0.137, 0.101, 0.156, 0.078, 0.16, 0.134, 0.133, 0.096, 0.126, 0.126, 0.113, 0.103, 0.114, 0.152, 0.144, 0.128, 0.121, 0.14, 0.126, 0.103, 0.118, 0.106, 0.11, 0.108, 0.131, 0.116, 0.285, 0.136, 0.105, 0.135, 0.109, 0.132, 0.124, 0.139, 0.095, 0.114, 0.118, 0.144, 0.136, 0.093, 0.161, 0.128, 0.123, 0.134, 0.121, 0.093, 0.119, 0.117, 0.111, 0.128, 0.137, 0.102, 0.13, 0.138, 0.13, 0.092, 0.27, 0.138, 0.102, 0.109, 0.118, 0.129, 0.11, 0.114, 0.095, 0.09, 0.124, 0.117, 0.126, 0.128, 0.109, 0.121, 0.127, 0.136, 0.129, 0.105, 0.132, 0.093, 0.102, 0.133, 0.129, 0.12, 0.114, 0.028, 0.138, 0.152]"
ay,"[-0.053, 0.053, 0.003, 0.018, 0.036, -0.033, 0.005, 0.067, -0.003, -0.507, 0.306, -0.009, -0.019, -0.01, 0.019, -0.062, -0.098, -0.001, -0.166, 0.114, -0.087, -0.392, 0.175, 0.273, -0.039, 0.026, -0.224, -0.253, 5.346, -0.443, 0.401, 0.019, -5.817, 0.57, -1.081, -0.053, 0.028, -0.02, 0.039, 0.045, -0.035, -0.07, 0.066, 0.027, 0.025, 0.028, 0.1, 0.027, 0.136, -0.013, 0.053, 0.115, 0.0, 0.016, -0.05, 0.114, 0.033, -0.065, 0.102, -0.066, 0.013, 0.024, 0.033, -0.023, -0.035, 0.031, 0.009, -0.013, 0.04, 0.022, -0.047, -0.053, -0.065, -0.023, -0.001, 0.008, 0.044, -0.121, 0.068, 0.105, -0.028, -0.052, 0.007, -0.006, 0.142, -0.033, 0.059, -0.027, 0.07, -0.068, -0.038, 0.019, 0.034, 0.076, -0.059, 0.029, -0.041, 0.018, -0.046, 0.069, -0.037, -0.004, 0.081, 0.017, 0.015, 0.012, 0.029, -0.072, 0.028, 0.027, -0.041, 0.041, -0.049, 0.074, 0.031, 0.031, -0.001, 0.042, -0.063, -0.069, -0.035, 0.051, -0.003, 0.048, -0.046, 0.077, -0.069, 0.045]","[0.085, 0.083, 0.064, 0.065, 0.069, 0.068, 0.069, 0.071, 0.067, 0.041, 0.174, 0.064, 0.076, 0.128, 0.218, 0.198, 0.332, 0.164, 0.094, 0.121, 0.18, 0.135, 0.088, 0.134, 0.101, 0.088, 0.086, 0.069, 0.053, 0.035, 0.091, 0.037, -0.329, -0.667, -0.653, 0.045, 0.047, 0.056, 0.06, 0.06, 0.057, 0.059, 0.066, 0.065, 0.062, 0.065, 0.06, 0.063, 0.062, 0.066, 0.067, 0.06, 0.067, 0.062, 0.062, 0.066, 0.069, 0.067, 0.068, 0.068, 0.069, 0.067, 0.066, 0.067, 0.067, 0.067, 0.064, 0.069, 0.064, 0.071, 0.07, 0.066, 0.067, 0.067, 0.064, 0.069, 0.071, 0.071, 0.066, 0.065, 0.067, 0.068, 0.068, 0.067, 0.068, 0.066, 0.065, 0.067, 0.069, 0.066, 0.071, 0.068, 0.068, 0.069, 0.071, 0.069, 0.072, 0.073, 0.069, 0.069, 0.065, 0.063, 0.069, 0.069, 0.074, 0.069, 0.065, 0.071, 0.066, 0.064, 0.069, 0.071, 0.068, 0.068, 0.068, 0.072, 0.067, 0.069, 0.064, 0.068, 0.066, 0.068, 0.066, 0.063, 0.074, 0.069, 0.071, 0.067]"
az,"[0.071, 0.057, 0.021, 0.027, 0.034, 0.03, 0.035, 0.037, 0.034, 0.04, 0.024, 0.04, 0.031, 0.033, 0.032, 0.031, 0.028, 0.03, 0.032, 0.033, 0.03, 0.029, 0.04, 0.033, 0.033, 0.034, 0.037, 0.036, 0.021, -0.05, 0.325, 0.037, 0.18, 0.029, -0.058, 0.035, 0.035, 0.035, 0.038, 0.036, 0.034, 0.034, 0.037, 0.033, 0.037, 0.036, 0.036, 0.037, 0.041, 0.036, 0.036, 0.033, 0.03, 0.038, 0.037, 0.036, 0.036, 0.035, 0.034, 0.032, 0.036, 0.037, 0.033, 0.035, 0.037, 0.032, 0.038, 0.036, 0.038, 0.033, 0.036, 0.031, 0.038, 0.038, 0.036, 0.035, 0.034, 0.033, 0.033, 0.035, 0.038, 0.033, 0.033, 0.078, 0.04, 0.038, 0.033, 0.033, 0.033, 0.034, 0.03, 0.036, 0.037, 0.037, 0.039, 0.035, 0.036, 0.035, 0.035, 0.037, 0.038, 0.034, 0.035, 0.036, 0.039, 0.036, 0.037, 0.033, 0.038, 0.035, 0.033, 0.036, 0.036, 0.037, 0.031, 0.038, 0.032, 0.036, 0.038, 0.035, 0.035, 0.04, 0.036, 0.035, 0.034, 0.034, 0.035, 0.038]","[0.065, -0.037, -0.075, -0.032, -0.031, -0.025, -0.023, -0.024, -0.03, -0.022, 0.031, -0.024, -0.029, -0.03, -0.025, -0.024, -0.029, -0.029, -0.025, -0.021, -0.017, -0.028, -0.026, -0.025, -0.022, -0.026, -0.024, -0.027, -0.005, -0.017, -0.207, -0.026, -0.038, -0.015, 0.069, -0.032, -0.026, -0.027, -0.029, -0.026, -0.026, -0.022, -0.028, -0.027, -0.026, -0.027, -0.022, -0.025, -0.026, -0.026, -0.028, -0.03, -0.022, -0.028, -0.026, -0.027, -0.025, -0.029, -0.025, -0.03, -0.03, -0.024, -0.024, -0.028, -0.026, -0.023, -0.024, -0.024, -0.025, -0.028, -0.029, -0.025, -0.029, -0.027, -0.02, -0.028, -0.028, -0.031, -0.027, -0.027, -0.027, -0.027, -0.027, -0.027, -0.025, -0.029, -0.029, -0.025, -0.025, -0.032, -0.028, -0.026, -0.028, -0.021, -0.031, -0.028, -0.029, -0.027, -0.028, -0.026, -0.03, -0.027, -0.028, -0.027, -0.027, -0.027, -0.03, -0.027, -0.024, -0.029, -0.026, -0.023, -0.033, -0.028, -0.026, -0.02, -0.029, -0.029, -0.024, -0.028, -0.023, -0.026, -0.029, -0.025, -0.028, -0.02, -0.026, -0.026]"
gx,"[9.687, 9.767, 9.763, 9.763, 9.776, 9.74, 9.587, 9.68, 9.723, 9.908, 10.121, 9.449, 9.694, 9.741, 9.775, 9.532, 9.729, 9.653, 9.473, 9.397, 9.933, 9.758, 9.642, 9.805, 9.671, 9.837, 9.651, 9.8, 8.995, 8.353, 9.88, 9.997, 9.373, 10.263, 9.802, 9.794, 9.809, 9.732, 9.736, 9.737, 9.812, 9.706, 9.727, 9.723, 9.744, 9.702, 9.818, 9.716, 9.778, 9.641, 9.762, 9.767, 9.714, 9.666, 9.669, 9.752, 9.82, 9.717, 9.752, 9.747, 9.753, 9.729, 9.776, 9.676, 9.668, 9.785, 9.768, 9.794, 9.708, 9.715, 9.748, 9.762, 9.735, 9.72, 9.763, 9.748, 9.763, 9.682, 9.758, 9.752, 9.701, 9.741, 9.758, 9.756, 9.824, 9.738, 9.837, 9.726, 9.723, 9.726, 9.784, 9.718, 9.766, 9.789, 9.692, 9.765, 9.712, 9.695, 9.702, 9.735, 9.706, 9.793, 9.68, 9.698, 9.721, 9.695, 9.825, 9.765, 9.74, 9.78, 9.743, 9.696, 9.733, 9.712, 9.728, 9.694, 9.733, 9.775, 9.716, 9.733, 9.703, 9.724, 9.731, 9.815, 9.717, 9.71, 9.787, 9.72]","[-0.169, -0.124, -0.144, -0.157, -0.157, -0.157, -0.165, -0.129, -0.078, -0.425, -0.642, -0.137, -0.136, -0.134, -0.12, -0.43, -0.157, -0.205, -0.402, -0.22, -0.156, -0.086, -0.02, -0.086, -0.395, -0.444, -0.282, -0.191, -0.399, -0.491, -0.355, -0.136, -0.248, -0.178, -0.249, -0.127, -0.127, -0.204, -0.181, -0.16, -0.135, -0.12, -0.142, -0.15, -0.149, -0.17, -0.156, -0.153, -0.141, -0.191, -0.167, -0.141, -0.154, -0.157, -0.161, -0.121, -0.162, -0.12, -0.173, -0.151, -0.172, -0.135, -0.192, -0.162, -0.011, -0.141, -0.175, -0.205, -0.178, -0.123, -0.152, -0.16, -0.163, -0.148, -0.138, -0.153, -0.168, -0.169, -0.158, -0.316, -0.059, -0.258, -0.097, -0.135, -0.19, -0.15, -0.012, -0.163, -0.015, -0.185, -0.161, -0.212, -0.014, -0.149, -0.123, -0.142, -0.179, -0.175, -0.127, -0.108, -0.165, -0.13, -0.301, -0.15, -0.174, -0.179, -0.115, -0.005, -0.149, -0.188, -0.162, -0.179, -0.014, -0.171, -0.169, -0.194, -0.162, -0.294, -0.129, -0.172, -0.156, -0.157, -0.123, -0.109, -0.099, -0.167, -0.123, -0.167]"
gy,"[0.196, 0.328, 0.289, 0.304, 0.264, 0.245, 0.362, 0.299, 0.269, 0.002, 0.846, 0.095, 0.333, 0.284, 0.114, 0.559, 0.27, 0.486, 0.694, 0.25, 0.211, -0.048, 0.028, 0.537, 0.348, 0.364, 0.398, 0.377, -0.456, 0.285, -3.191, 0.762, 0.668, -0.287, 0.184, 0.31, 0.27, 0.328, 0.242, 0.295, 0.272, 0.351, 0.388, 0.27, 0.295, 0.277, 0.263, 0.322, 0.304, 0.312, 0.261, 0.339, 0.398, 0.279, 0.083, 0.206, 0.399, 0.199, 0.239, 0.444, 0.346, 0.273, 0.321, 0.322, 0.343, 0.284, 0.289, 0.316, 0.306, 0.353, 0.372, 0.243, 0.311, 0.279, 0.347, 0.304, 0.31, 0.316, 0.272, 0.388, 0.212, 0.377, 0.252, 0.336, 0.235, 0.391, 0.297, 0.315, 0.276, 0.278, 0.232, 0.278, 0.215, 0.411, 0.288, 0.267, 0.257, 0.29, 0.324, 0.325, 0.318, 0.343, 0.343, 0.321, 0.274, 0.259, 0.379, 0.329, 0.29, 0.255, 0.282, 0.39, 0.339, 0.335, 0.322, 0.266, 0.309, 0.217, 0.268, 0.412, 0.351, 0.455, 0.315, 0.324, 0.189, 0.475, 0.221, 0.361]","[0.02, 0.024, 0.011, 0.016, 0.017, 0.013, 0.008, 0.015, 0.008, -0.101, 0.03, 0.009, 0.01, 0.024, 0.04, 0.035, 0.09, -0.001, 0.01, 0.02, 0.011, 0.003, 0.022, 0.015, 0.025, 0.011, 0.034, 0.029, 0.015, -0.174, 0.04, 0.016, 0.016, 0.01, 0.012, 0.015, 0.015, 0.016, 0.015, 0.015, 0.018, 0.015, 0.014, 0.017, 0.015, 0.01, 0.012, 0.015, 0.011, 0.011, 0.015, 0.015, 0.013, 0.015, 0.013, 0.015, 0.018, 0.013, 0.011, 0.015, 0.011, 0.014, 0.015, 0.013, 0.012, 0.017, 0.011, 0.015, 0.014, 0.014, 0.015, 0.018, 0.009, 0.012, 0.011, 0.015, 0.013, 0.012, 0.015, 0.013, 0.01, 0.02, 0.013, 0.018, 0.016, 0.016, 0.011, 0.017, 0.014, 0.018, 0.014, 0.009, 0.013, 0.017, 0.016, 0.013, 0.015, 0.016, 0.014, 0.016, 0.012, 0.01, 0.019, 0.011, 0.012, 0.018, 0.012, 0.015, 0.011, 0.014, 0.016, 0.012, 0.016, 0.017, 0.012, 0.011, 0.012, 0.016, 0.014, 0.013, 0.018, 0.013, 0.015, 0.007, 0.02, 0.012, 0.016, 0.013]"
gz,"[0.009, -0.013, -0.012, -0.007, -0.005, -0.004, -0.008, -0.007, -0.004, -0.032, 0.003, -0.007, -0.005, -0.005, -0.006, -0.002, -0.007, -0.004, -0.004, -0.006, -0.008, -0.004, -0.006, -0.006, -0.003, -0.004, -0.002, -0.007, 0.0, 0.015, -0.008, -0.006, -0.007, -0.004, -0.005, -0.004, -0.007, -0.005, -0.006, -0.006, -0.003, -0.005, -0.007, -0.01, -0.004, -0.002, -0.007, -0.004, -0.005, -0.005, -0.003, -0.006, -0.004, -0.005, -0.004, -0.007, -0.004, -0.003, -0.005, -0.005, -0.005, -0.008, -0.005, -0.007, -0.004, -0.004, -0.006, -0.005, -0.005, -0.006, -0.005, -0.006, -0.006, -0.008, -0.008, -0.008, -0.007, -0.004, -0.006, -0.005, -0.005, -0.008, -0.002, -0.004, -0.007, -0.004, -0.003, -0.008, -0.006, -0.006, -0.005, -0.004, -0.005, -0.005, -0.006, -0.007, -0.004, -0.005, -0.006, -0.004, -0.005, -0.004, -0.004, -0.006, -0.007, -0.004, -0.006, -0.003, -0.006, -0.007, -0.005, -0.007, -0.006, -0.007, -0.007, -0.003, -0.003, -0.008, -0.006, -0.005, -0.01, -0.005, -0.003, -0.008, -0.007, -0.009, -0.005, -0.007]","[-0.064, -0.066, -0.039, -0.044, -0.046, -0.044, -0.044, -0.05, -0.044, -0.027, -0.082, -0.043, -0.044, -0.044, -0.046, -0.042, -0.047, -0.041, -0.04, -0.049, -0.044, -0.043, -0.041, -0.042, -0.047, -0.048, -0.043, -0.039, -0.036, -0.016, -0.074, -0.038, -0.03, -0.046, -0.025, -0.046, -0.044, -0.047, -0.042, -0.045, -0.046, -0.044, -0.044, -0.044, -0.046, -0.047, -0.044, -0.044, -0.044, -0.047, -0.045, -0.043, -0.042, -0.043, -0.046, -0.047, -0.042, -0.044, -0.042, -0.047, -0.042, -0.043, -0.045, -0.045, -0.047, -0.043, -0.043, -0.048, -0.045, -0.045, -0.044, -0.044, -0.047, -0.046, -0.049, -0.045, -0.048, -0.044, -0.043, -0.044, -0.044, -0.045, -0.046, -0.044, -0.047, -0.046, -0.045, -0.045, -0.044, -0.047, -0.043, -0.044, -0.048, -0.049, -0.046, -0.046, -0.046, -0.04, -0.045, -0.045, -0.046, -0.046, -0.043, -0.045, -0.044, -0.045, -0.042, -0.046, -0.046, -0.044, -0.045, -0.044, -0.046, -0.045, -0.048, -0.046, -0.046, -0.045, -0.047, -0.047, -0.043, -0.043, -0.046, -0.047, -0.044, -0.047, -0.046, -0.045]"
