,Left IMU Signal,Right IMU Signal
ax,"[9.609, 9.691, 9.62, 9.563, 9.663, 9.642, 9.528, 19.6, 10.198, 9.541, 9.884, 3.796, 9.598, 9.574, 9.611, 9.593, 9.649, 9.652, 9.742, 9.636, 9.659, 9.613, 9.644, 9.617, 9.496, 9.591, 9.698, 9.562, 9.664, 9.639, 9.631, 9.614, 9.667, 9.714, 9.635, 9.645, 9.601]","[0.179, 0.188, 0.188, 0.176, 0.176, 0.189, 0.354, -1.094, 0.031, -0.05, -0.093, -2.295, 0.269, 0.264, 0.269, 0.24, 0.245, 0.266, 0.243, 0.257, 0.263, 0.268, 0.263, 0.281, 0.191, 0.239, 0.26, 0.271, 0.245, 0.263, 0.297, 0.246, 0.209, 0.236, 0.255, 0.278, 0.248]"
ay,"[-0.099, -0.122, -0.032, -0.093, -0.121, -0.105, 0.044, -2.771, 0.018, 0.012, -0.016, -19.6, -0.009, -0.048, -0.145, -0.133, -0.062, -0.145, -0.162, -0.179, -0.084, -0.288, -0.044, -0.076, -0.182, -0.151, -0.127, -0.145, -0.1, -0.106, -0.087, -0.022, -0.086, -0.158, -0.181, -0.152, -0.12]","[0.061, 0.067, 0.066, 0.073, 0.072, 0.072, 0.09, -0.081, 0.177, 0.044, 0.073, 0.61, 0.067, 0.07, 0.072, 0.075, 0.071, 0.07, 0.07, 0.071, 0.074, 0.063, 0.068, 0.068, 0.072, 0.074, 0.071, 0.066, 0.069, 0.068, 0.071, 0.066, 0.067, 0.071, 0.069, 0.067, 0.069]"
az,"[0.033, 0.04, 0.04, 0.044, 0.044, 0.041, 0.046, 0.378, 0.078, 0.038, 0.047, -0.647, 0.042, 0.043, 0.041, 0.042, 0.042, 0.043, 0.042, 0.039, 0.045, 0.042, 0.044, 0.045, 0.042, 0.043, 0.043, 0.048, 0.043, 0.043, 0.042, 0.044, 0.044, 0.045, 0.044, 0.045, 0.04]","[-0.033, -0.013, -0.012, -0.014, -0.012, -0.013, -0.015, 0.577, 0.031, -0.04, -0.01, 0.372, -0.015, -0.015, -0.016, -0.012, -0.017, -0.014, -0.019, -0.015, -0.016, -0.011, -0.014, -0.018, -0.018, -0.015, -0.018, -0.018, -0.017, -0.016, -0.016, -0.008, -0.017, -0.016, -0.018, -0.016, -0.017]"
gx,"[0.0, 0.0, 0.0, 0.153, 0.0, 0.0, 0.0, 0.0, -0.153, 0.0, 0.0, 0.0, 0.0, 0.153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, -0.153, 0.0, 0.153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gy,"[0.0, 0.0, 0.153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.001]","[0.0, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.039, 0.0, 0.0, 0.0, 0.0, -0.039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gz,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.039, 0.0, 0.0, 0.0, 0.0, -0.039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
