,LP,LD1,LD2,RP,RD1,RD2
x,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[3.0770685943704024e-06, -1.8844318807109683e-05, 2.3752674832733245e-05, -1.4874689808541675e-05, 3.988929707382516e-05, 0.00043901897134895895, 0.0019861961795989425, -0.001146149922151285, -0.00047179336180513953, -0.0001123118933661349, 0.01268397320849285, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[-2.9320078468453303e-06, -1.3527934212942405e-05, 1.845678435485887e-05, -7.597434854567098e-06, 3.849786895171459e-05, 0.0005399041580692043, 0.0021348611493688385, -0.0011584865460969596, -0.0006309542332722518, -0.0001511512405557025, 0.015714166743596547, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[1.291522326141159e-06, 2.2512980515809744e-05, -1.0343265828965942e-05, 0.00018645489908905577, -0.0002133954798794746, 0.00013865562622772387, -0.0018821930694989941, -0.00044098786600815787, 0.0007174484176229179, 0.0006343629549409313, -0.013061259118729213, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, -0.015932994207910584, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
y,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[5.160995669273305e-06, -1.463691540543044e-05, 7.94862262176732e-06, -2.9845087334279263e-06, -1.5935522068577512e-08, -3.8216480012009946e-05, 3.619121151265947e-06, 0.00027555060754080873, -0.00019301669724181014, -6.54884804020539e-05, 0.00593040439077086, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[6.293738228357881e-06, -1.5635347465015048e-05, 8.97562891483128e-06, -4.486411377124799e-06, 3.7650217576956635e-07, -5.4639384434229665e-05, -2.220400098090769e-05, 0.00027186792714656294, -0.00016514818875723591, -6.696204059458699e-05, 0.0049507267922784814, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[2.729075559149141e-06, -2.1769496563073254e-05, 2.8021597868743697e-06, -4.042991591129974e-05, 2.4652881157327666e-05, -0.00013460443337964811, -0.0005862124004302749, 0.0003385686557073053, 4.1401852350186896e-05, 5.69815759948189e-05, -0.0020311995632207314, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, -0.0026313056790235323, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
z,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[2.007651255686582e-06, 8.025932441924066e-06, -9.752120821771015e-06, 2.9251646802008757e-06, -9.350470257518673e-07, 0.0006026471341078754, 0.002729402233874273, -0.0009026042110525934, 0.000870270811332563, 0.0002596026509409932, -0.004619989578461076, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[2.0541569381860025e-06, 8.183860831956213e-06, -8.246554495966452e-06, -3.627629976216129e-06, 5.69792434368388e-06, 0.0007751473562470634, 0.0029875332220378747, -0.0008634601690167276, 0.0010194149796334817, 0.0003095949177310542, -0.005526099558031766, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[4.1286525962191956e-06, 1.1087622457606194e-05, -1.1610975689163583e-05, -0.00010455200691761313, 8.987513364736022e-05, 0.0011690981561773284, 0.002028342264796562, -0.0009294437164409919, 0.0005739298242035951, 0.0002618403767569999, -0.0031978805975099167, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, -0.003784878604157077, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
