,transforms
22,"[array([[ 0.27501144,  0.96988634, -0.01109331, -0.0849365 ],
       [-0.96118262,  0.24348676,  0.02000615,  0.1498925 ],
       [ 0.02228618,  0.00588956,  0.99973831,  0.111958  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
23,"[array([[ 0.20587956,  0.98463705, -0.01804366, -0.078932  ],
       [-0.97834292,  0.17400005,  0.01808787,  0.151185  ],
       [ 0.02141795,  0.01462394,  0.99967357,  0.11218   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
24,"[array([[ 0.1346596 ,  0.99442136, -0.02362759, -0.0722735 ],
       [-0.99067806,  0.10322595,  0.01755902,  0.1515955 ],
       [ 0.02058594,  0.02169263,  0.99956662,  0.112396  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
25,"[array([[ 0.07753292,  0.99865104, -0.02520804, -0.0669375 ],
       [-0.996794  ,  0.04585121,  0.01785109,  0.1512035 ],
       [ 0.01975774,  0.02436717,  0.99952283,  0.112472  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
26,"[array([[ 0.03988653,  0.99967564, -0.02449582, -0.0633115 ],
       [-0.99902602,  0.00740914,  0.01790187,  0.1506115 ],
       [ 0.01887018,  0.02436645,  0.99953963,  0.112468  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
27,"[array([[ 0.00166072,  0.99910181, -0.02848984, -0.0597635 ],
       [-0.99983689, -0.03086424,  0.01792984,  0.1497455 ],
       [ 0.01798443,  0.0290341 ,  0.99943326,  0.112603  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
28,"[array([[-0.03173119,  0.99748528, -0.028811  , -0.056996  ],
       [-0.99937051, -0.06428886,  0.01678154,  0.1486575 ],
       [ 0.01586559,  0.029834  ,  0.999444  ,  0.112653  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
29,"[array([[-0.0471263 ,  0.99633365, -0.02949028, -0.055601  ],
       [-0.99880227, -0.07990755,  0.0145582 ,  0.148044  ],
       [ 0.01315812,  0.030562  ,  0.99945904,  0.112679  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
30,"[array([[-0.04760891,  0.99625463, -0.02964097, -0.055631  ],
       [-0.99877508, -0.0808151 ,  0.0149031 ,  0.1480415 ],
       [ 0.0134811 ,  0.03075128,  0.9994495 ,  0.112677  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
31,"[array([[-0.04885061,  0.99620502, -0.02862082, -0.055934  ],
       [-0.99870564, -0.08177664,  0.01557625,  0.1481075 ],
       [ 0.01416546,  0.0298018 ,  0.99946897,  0.1126645 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
32,"[array([[-0.04935632,  0.99622927, -0.02817441, -0.056294  ],
       [-0.99866582, -0.08161288,  0.01658804,  0.1482115 ],
       [ 0.01518345,  0.02943771,  0.99946538,  0.1126385 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
33,"[array([[-0.04555784,  0.99662528, -0.02323638, -0.0573715 ],
       [-0.99883036, -0.07833749,  0.01727035,  0.1486075 ],
       [ 0.01619834,  0.02452115,  0.99958082,  0.1124885 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
34,"[array([[-0.03992361,  0.99729426, -0.01059222, -0.0594145 ],
       [-0.99906211, -0.07255755,  0.01719865,  0.149232  ],
       [ 0.01676306,  0.01181386,  0.99979598,  0.1121055 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
35,"[array([[-0.03666946,  0.99748967, -0.00325944, -0.0602395 ],
       [-0.99918217, -0.07067115,  0.01717052,  0.1494025 ],
       [ 0.01703956,  0.0044654 ,  0.99984726,  0.111881  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
36,"[array([[-0.03442826,  0.99772301,  0.00316913, -0.061162  ],
       [-0.9993106 , -0.06740785,  0.01379182,  0.149353  ],
       [ 0.01389282, -0.00223246,  0.99989987,  0.111654  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
37,"[array([[-0.0345592 ,  0.99769483,  0.00301911, -0.0610685 ],
       [-0.99929974, -0.06782948,  0.01424639,  0.149343  ],
       [ 0.01434227, -0.00204604,  0.99989396,  0.111632  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
38,"[array([[-0.03590164,  0.99762983,  0.00326675, -0.0609745 ],
       [-0.99924886, -0.06877212,  0.01447956,  0.149294  ],
       [ 0.01458757, -0.00226346,  0.99988983,  0.1116285 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
39,"[array([[-0.03488683,  0.99768804,  0.00430093, -0.061639  ],
       [-0.99929316, -0.06787753,  0.01386158,  0.149407  ],
       [ 0.0140033 , -0.00335044,  0.99989467,  0.111643  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
40,"[array([[-0.02628825,  0.99822594,  0.00794501, -0.063243  ],
       [-0.99952045, -0.05912955,  0.01616057,  0.1496965 ],
       [ 0.01636433, -0.00697648,  0.99983784,  0.1117435 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
41,"[array([[ 0.00383769,  0.99950056,  0.01227337, -0.0685455 ],
       [-0.99985945, -0.02931951,  0.01636627,  0.1499445 ],
       [ 0.01632028, -0.01178986,  0.99979073,  0.111843  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
42,"[array([[ 0.02463272,  0.99987764,  0.01301301, -0.0713225 ],
       [-0.99956344, -0.00889786,  0.0166383 ,  0.1498985 ],
       [ 0.01631413, -0.01286624,  0.99977689,  0.1118345 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
43,"[array([[ 0.02388359,  0.99989546,  0.0113663 , -0.070927  ],
       [-0.99959492, -0.00911533,  0.01575279,  0.149786  ],
       [ 0.01547786, -0.01122363,  0.99981131,  0.111813  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
