,LP,LD1,LD2,RP,RD1,RD2
x,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.0006516537534900778, 0.0008209524516766645, 0.0007865281080738004, 0.0006654174957136957, 0.000712096212332476, 0.000653830468002653, 0.0007707066815749877, 0.0007772551650966313, -0.005341090343042097, -0.03808897941146747, -0.026936213227518803, -0.05067258596351036, -0.06697163173754868, -0.06110313143614969, -0.044462377404156116, -0.05622041624297126, -0.061082424495803915, -0.096445704230305, -0.07283174127747359, -0.010573651101529675, 0.0029185538777949864, -0.0012590579518565142, 0.009891598476191435, 0.00012992868792441342, 0.0008247351982154835, -0.051765583918266536, -0.09881195838726801, -0.1258545554188821, -0.09252085670701463, -0.058305519622412774, 0.0002651712675851844, 0.050094454150252446, 0.05786185205363246, 0.09116399794249405, 0.10269342142135586, 0.11472666394720428, 0.11946474057212482, 0.13049197152989467, 0.10662374479376201, 0.07989374869553549, 0.09094863428420263, 0.09090418900105475, 0.09012932410920901, 0.03848116658887948, 0.0006501803876593344, 0.04608410832672677, 0.11312850307067955, 0.10671624740547471, 0.10555753914148668, 0.10924826114857572, 0.09156514565835382, 0.018244370164282066, 0.009238184822506473, -0.00640060565564193, 0.005043857989640325, 0.007455204028763423, -0.00023168183873778107, -0.001428236880119048, -0.006763459416325301, 0.03327292285783626, 0.06278490997115488, 0.05393135802755202, 0.07748250212359127, 0.0766927405397839, 0.06875776466194286, 0.06279111135564343, 0.06269006535802753, 0.04783819673736968, -0.028769934139019317, -0.05955514101172107, -0.05356005623474217, -0.04556870040427827, -0.0398398018426352, 0.0013991668497703507, 0.0004277198045048381, 0.0008392992385837814, 0.0012410241635126592, 0.009137196801838554, 0.014284842253424107, 0.010637574884390362, -0.05359974789268236, -0.06363758366006442, -0.13640144622738226, -0.16651684186142654, -0.16135394952137183, -0.15645029113271414, -0.03238779558105736, -0.08554245045912338, -0.13105871065161448, -0.12228471369147524, -0.14493350195190657, -0.12004754810510246, -0.12958834685319243, -0.1218268852873771, -0.10198537727566206, -0.0718694151687463, -0.07343654811199568, -0.02406218214281489, -0.02172717906338597, -0.012214255846685442, 0.014600328370013647, 0.03886245092428948, 0.02796093857543652, 0.07811610262431844, 0.09027292233511876, 0.07394425998556509, 0.10426454918978312, 0.14026702270567096, 0.183115536617175, 0.17538088396781926, 0.17915359755431676, 0.17571744851624552, 0.07900832947062297, 0.028493493270295808, 0.007349998620313335, -0.0219887474207068, -0.07070268102203857, -0.11075616530189959, -0.11970245556820254, -0.12104351779126589, -0.12923376950007637, -0.12285830039900042, -0.0723196245552075, -0.025360793550309253, 0.012019851965474447, 0.060546550599022586, 0.06603413871247418, 0.09041327337179846, 0.09037047877066573, 0.06844395979090616, 0.08278947249074096, 0.08809342774955674, 0.06945345036145952, 0.04708945538537024, 0.034512586973928325, 0.008897058741569338, -0.0010494738024600374, -0.017672705880638403, -0.07453369040833589, -0.13234528053756128, -0.17256528868138726, -0.1738808747672305, -0.2084262552521236, -0.16620840079155846, -0.07370724104313878, -0.003881025222233044, 0.03144318374639564, 0.04093745508648296, 0.03619666449821396, 0.07213091990438504, 0.11000489297816443, 0.10467686144759364, 0.1354314501941112, 0.12983606531651837, 0.08474256623882769, 0.038838710238909974, -0.0007031919928378014, 0.0005411026822660862, 0.0005371448876641908, 0.011194212670975088, 0.05173009312269175, 0.08873577430908047, 0.030173741256159462, 0.04718238085741458, 0.029479146002442003, 0.030798893570443193, 0.014798248146793187, -0.0110571894437609, -0.014734008816719468, -0.008088610010778811, -0.0639090730556013, -0.06798292311715474, -0.08235294796876251, -0.09840518808702566, -0.09482696972891524, -0.08926169559512023, -0.07913337269112515, -0.08461233911618277, -0.04749029759562936, -0.0602513003967291, -0.1250245927872189, -0.16700440216824758, -0.18113726746936126, -0.16676987493183015, -0.13454063522012083, -0.11934098767107165, -0.11312418683500695, -0.1294000140022059, -0.12213091943443351, -0.1093082938329195]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
y,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.0014311478810559086, 0.0012574942296048157, 0.0013629718494554777, 0.0012102326098872797, 0.001300733240805873, 0.0015215399271550352, 0.0011694587089637243, 0.0012381886227934022, 0.005234827607524975, 0.030888846722217086, 0.04753143653371862, 0.05199226847706714, 0.026277773791877176, 0.025331700215997295, 0.027976691577657205, 0.037186942118817796, 0.03841690987903514, 0.03672273685566436, 0.01807804462624332, 0.0074879399853862464, -0.0013872789232375583, 0.0035839507027893114, 0.001927130347151132, 0.0013538458876806742, -0.0009354996773674957, 0.01844236628338146, 0.03257848509601553, 0.021067500765760295, 0.015247507864819331, 0.038436822957770456, 0.041139932255613715, 0.05019428645843324, 0.04506859509485518, 0.0304269479854111, 0.008568116796397499, 0.007380552425442661, -0.00373002408816439, -0.010216210164277638, -0.011446898454046034, -0.0034964833194283595, 0.014532342080966832, 0.0029409268656135678, 0.004077694361168845, -0.0004283232933309183, 0.006698273124551442, 0.02152744700955491, 0.0017517828346845505, -0.013521480583785312, -0.011838951061920532, -0.02573270335652264, -0.03703121111710567, -0.012553385886535076, -0.001289734587062167, 0.01718084260279789, -0.01022978054143711, -0.0012454779525044764, -0.0005940701413860977, 0.019479578176866817, 0.051797732319598846, 0.020951429021284357, 0.006860678682663047, 0.05359274918276199, 0.05796332118614089, 0.0396365948399926, 0.026713939974521962, 0.017502606280753633, 0.025562176563789396, 0.020699378544897385, 0.02908416776118524, 0.030751941859313035, 0.01922885955205874, 0.016059185635111124, 0.0059992093535179225, 0.00427714605583453, -0.0011268344004281144, 0.0013341479390304512, 0.004110829996658204, -0.0027594778213573556, -0.0022861256409095632, -0.004389573641243271, 0.014031710894603033, 0.01489880279175592, 0.028524657690140235, 0.02602370196502045, 0.008953305691386231, 0.012445346896448746, 0.0029391373335642835, -0.0038404058293144416, -0.01245909164048376, -0.024215568575027248, -0.022468004775713455, -0.02092940580891092, -0.02668756393349918, -0.028081482881518655, -0.029408135607527947, -0.03331473229788997, -0.05863439415808477, -0.09945561538906468, -0.11184984671814015, -0.11426893082834838, -0.13097856940604397, -0.1221557603247756, -0.09564555630882546, -0.10535370843301262, -0.08690973507271275, -0.08040422364312874, -0.0770099795848567, -0.05202132676928946, -0.042270457041114075, -0.025807238115508797, -0.002540755861546501, 0.01812871648700031, 0.05579923195455275, 0.06219749103915439, 0.06002909941215608, 0.09768261645113363, 0.06620240489293062, 0.054901293151565174, 0.04231768288022729, 0.014749743729795048, -0.010566196684104556, -0.016488652366268508, -0.011055532279888442, 0.008537360316611939, 0.010680570636317176, 0.034508073495098046, 0.02205115982953273, 0.009137838772760769, -0.021598385904947504, -0.02523396443552302, -0.041224484791025924, -0.05962455598355532, -0.0671511669708036, -0.06044380073115061, -0.0498548991767032, -0.012626158626914186, 0.05643767467162644, 0.14149315869050133, 0.15876544365744275, 0.14004646329309528, 0.11208447096190094, 0.05261074177339091, -0.011149272137239385, -0.06334670499599897, -0.057657161628655966, -0.00774551544806652, 0.02009458954542052, 0.05612721998565529, 0.09166448010977718, 0.10061672178182648, 0.07964959191081815, 0.05469024151911271, 0.01745780948964478, -0.0005627860299477254, -0.012498713937152312, -0.018646132096772995, 0.0010464197296081404, 0.001011871181578594, 0.0008425212002586447, -0.022810987691888756, -0.07188710002014441, -0.11604462219853637, -0.11805269928827919, -0.1293967844081653, -0.10393677821863911, -0.10045353336626416, -0.10511934787937412, -0.10240965176175425, -0.06040278309666727, 0.0005010339466684832, 0.016685163016055306, 0.0100366667658982, 0.0028227858962031997, -0.006888306802150712, -0.019456658466443292, -0.030470223140808703, -0.039742272359463454, -0.0598582022303079, -0.02914016797378279, -0.002843777136584243, -0.01220549730829395, -0.028438214302036472, -0.0438434779456833, -0.032853334838439725, -0.02936033489022189, -0.01955778152908107, -0.016399893775244305, 0.019137677665772814, -0.0025205392764239953, 0.011130628465456262]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
z,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[7.531902705689622e-06, 3.837591604755318e-05, 2.1983426923758118e-05, 1.963339946834003e-06, 2.1960830706375158e-05, 7.696055652144457e-06, 9.993063578286764e-06, 3.0010563685979433e-05, -5.8842912375425424e-05, -0.00015269422061492643, -0.00023575620269784277, -0.00027433960364099935, -0.0004287898168881019, -0.0005753107798173496, -0.00038988021441883295, -0.000432063277564283, 0.00027453699405849684, -0.0015614865636060225, -0.00015592913372427763, 0.00015580707221022532, -0.00032108401077991056, -0.0003238861786268356, 9.030392305057385e-05, 4.3100457824328225e-06, 0.0004956365690168798, -0.00015774851771830595, -0.0006965763853740573, -0.0008876160692309702, -0.0008081880882723116, -0.00041601972021057206, 0.00048779884590690486, 0.00016747980961049437, 0.00024267236518624874, 0.0006137748388036782, 0.0006128327994990572, 0.0005504289181328633, 0.0008271646259946484, 0.0009633452374697995, 0.000845161692377259, 0.0005183207929024882, 0.0008522325650484911, 0.0006503861900252358, 0.000716023703441599, 0.0002851612269751911, 0.00015793734350020463, 0.0001694696948377563, 0.0007203111430951773, 0.001041429165689114, 0.0007632457314835139, 0.0008154656571830796, 0.0008927273572400214, 0.00020447597936874043, -5.180500706437118e-05, 0.00025098335413681826, -4.0636825873808586e-05, 0.00011104342277544513, -0.000187267934278648, 0.00020673219651918547, -0.0001652949863347565, 0.00022721660267609675, 0.0005084519368033755, 0.00018617142614353713, 0.0009007609839375133, 0.0005396782561193229, 0.000520100199401189, 0.0004391422842831521, 0.0005449507265639489, 0.00022819169341404332, -2.5019134766954986e-06, -0.00032747584532545105, -0.00018880917246958014, -0.00042212736033512486, -0.0005259243887487614, 0.00022078997411236823, -0.0002667944698460581, 3.30998326697369e-05, 0.00027598058677323937, -5.5485454584986076e-05, 0.00010812199564829031, 9.231974394024584e-05, -0.0004108841918836952, -0.0004207401910873626, -0.0008845820948158937, -0.0010455928159436854, -0.0014108236978408284, -0.0011015063462651025, -0.0002440909541567164, -0.0006452441655488593, -0.0006802630777520502, -0.0009279771828700099, -0.0013108473693190675, -0.000691274515442755, -0.0012450217517809314, -0.0006273781142585748, -0.0007757125009070914, -0.0004706419034198858, -0.0007132240251123793, -1.9955485187590027e-05, -0.00021920037405544476, 5.640035965683031e-05, -9.291343708866878e-05, 0.0006905962653830028, -8.873103560221364e-05, 0.0006094642970058872, 0.00025420475820818933, 0.0005864038703643436, 0.0007666969595976417, 0.0010743479243848191, 0.000942871172475465, 0.0013925537634214367, 0.0014246110483451876, 0.0007479729243769908, 0.0006062416224157694, 0.0005793665364416214, 0.00027323355394195926, -2.0688169507205902e-05, -0.00015401586649907843, -0.00081421143610426, -0.0009899796509981018, -0.0008777529413116754, -0.0011109086735528345, -0.0012105593076203304, -0.00037184238448841143, -0.0001073542279730014, 4.8045969798673826e-05, 0.0003855861909860522, 0.0006172317792763465, 0.000664310626773454, 0.0008488374227964689, 0.0004019468595623717, 0.0005272802524608772, 0.0005270649361182455, 0.0006042126305955234, 0.0003436629599450874, 0.00041573614418444806, 0.0004849334285220124, -0.0005275521375941742, 0.00017869036424333933, -0.0006018871484837331, -0.0007548336682985715, -0.0010434293307706615, -0.001271967379357807, -0.0017897057490672177, -0.0013793060132880096, -0.00013668061708386456, -0.00022003924076062799, 0.00024231063623701742, -7.37055581386764e-05, 0.0003892960145762088, 0.0006293935561257697, 0.0008299681004142797, 0.0007678684836469658, 0.0011543390135584264, 0.0009753463813293326, 0.0006404152546091411, 0.0003928728154473905, 5.017907006594957e-05, 2.257689542927857e-05, 1.2804603572328498e-05, 5.3007953351255574e-05, 0.0003841927583702492, 0.0005175674457962227, 0.00018760974092969437, 0.0008231038730522574, -2.7095250587192585e-05, 4.1378604867365595e-05, -0.000126394398160659, -0.0002733010535645768, -3.253251597066078e-05, 0.00028948083129417634, -0.0004949171691628851, -0.0004467744889690268, -0.0007004806631434824, -0.0008113352701081859, -0.0008404166504847099, -0.0007225189678459223, -0.0006326801065062331, -0.0005995981276912146, -0.0004195047795643054, 8.507944847397694e-05, -0.0006346555808972195, -0.0010907481925207863, -0.001293269969037034, -0.001326472722974522, -0.0012816444946283738, -0.0009375300477898964, -6.394753396571302e-05, -0.0010076856775733218, -0.0009575158769513771, -0.0008018587526552367]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
