,transforms
0,"[array([[ 0.28078729, -0.95528751, -0.02457292, -0.193057  ],
       [ 0.95975735,  0.29469583,  0.00205123,  0.333763  ],
       [ 0.00493258, -0.02408602,  0.99969594,  0.110618  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[ 0.28063571, -0.95526549, -0.02450561, -0.193058  ],
       [ 0.95980125,  0.29477511,  0.0019417 ,  0.333765  ],
       [ 0.00501502, -0.02398898,  0.99969781,  0.1106185 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[ 0.28084097, -0.95581443, -0.02227761, -0.193081  ],
       [ 0.95974206,  0.29316658,  0.00146685,  0.3337405 ],
       [ 0.00484988, -0.02172871,  0.99975075,  0.1106535 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[ 0.28072246, -0.95531451, -0.02458014, -0.193057  ],
       [ 0.95977567,  0.2946108 ,  0.00192287,  0.3337625 ],
       [ 0.00505621, -0.02405558,  0.99969601,  0.1106155 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[ 0.28076078, -0.95528888, -0.02492988, -0.1930705 ],
       [ 0.95976614,  0.29465554,  0.00236882,  0.3337695 ],
       [ 0.0047273 , -0.02452092,  0.9996864 ,  0.110605  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[ 0.3238945 , -0.94088386, -0.01825288, -0.1905385 ],
       [ 0.9460826 ,  0.33826713,  0.00151533,  0.3218065 ],
       [ 0.00447913, -0.0176894 ,  0.99983225,  0.1106595 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[ 0.52867492, -0.84060845, -0.01974521, -0.1815065 ],
       [ 0.84879982,  0.54130491,  0.00469291,  0.3073275 ],
       [ 0.00645678, -0.01914223,  0.99979403,  0.1106645 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[ 0.68616672, -0.71471433, -0.01852803, -0.1671795 ],
       [ 0.7274189 ,  0.69914118,  0.00911939,  0.3000945 ],
       [ 0.006081  , -0.01962217,  0.99978675,  0.110799  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[ 0.71796967, -0.68502134, -0.0188728 , -0.1614545 ],
       [ 0.69602714,  0.72828486,  0.00781822,  0.30551   ],
       [ 0.00811009, -0.01862605,  0.99979132,  0.110795  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[ 0.75619278, -0.64197456, -0.01758378, -0.156906  ],
       [ 0.65429855,  0.76652935,  0.00791887,  0.328213  ],
       [ 0.00811693, -0.01736162,  0.99981403,  0.1108515 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
10,"[array([[ 0.76256696, -0.634666  , -0.01582776, -0.1599525 ],
       [ 0.64686288,  0.77263687,  0.00668076,  0.363387  ],
       [ 0.00774933, -0.01520939,  0.99985241,  0.110897  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
11,"[array([[ 0.76873708, -0.62682032, -0.01540177, -0.1473375 ],
       [ 0.63955277,  0.77892539,  0.01234632,  0.339628  ],
       [ 0.00394456, -0.01927476,  0.99980516,  0.1109885 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
12,"[array([[ 0.7847733 , -0.60705992, -0.01793014, -0.1140335 ],
       [ 0.61972259,  0.79445572,  0.00875384,  0.301184  ],
       [ 0.00864787, -0.01784276,  0.99980092,  0.1111465 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
13,"[array([[ 0.7661524 , -0.62780261, -0.01764664, -0.0958245 ],
       [ 0.64260069,  0.77818737,  0.00757875,  0.331573  ],
       [ 0.0086515 , -0.01697943,  0.99981556,  0.1113055 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
14,"[array([[ 0.7968518 , -0.58806435, -0.0188669 , -0.0731275 ],
       [ 0.60407904,  0.80863911,  0.00708289,  0.365073  ],
       [ 0.01075768, -0.01682588,  0.99979692,  0.111491  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
15,"[array([[ 0.79099186, -0.59704065, -0.01731074, -0.060085  ],
       [ 0.61176248,  0.8020377 ,  0.00789804,  0.340732  ],
       [ 0.00886254, -0.01667276,  0.99981896,  0.1115945 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
16,"[array([[ 0.79385869, -0.59190496, -0.01882518, -0.029525  ],
       [ 0.60796733,  0.80588656,  0.00351455,  0.2984055 ],
       [ 0.01281015, -0.0139776 ,  0.99981661,  0.111735  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
17,"[array([[ 0.79023567, -0.59639562, -0.01980392,  0.016041  ],
       [ 0.61262637,  0.80258468,  0.00153072,  0.31049   ],
       [ 0.0147149 , -0.01304208,  0.99980271,  0.1121    ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
18,"[array([[ 0.81384729, -0.56629408, -0.01543968,  0.0542725 ],
       [ 0.5810309 ,  0.82404823,  0.00878506,  0.3417695 ],
       [ 0.00746233, -0.01598524,  0.99984221,  0.112508  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
19,"[array([[ 0.81189506, -0.56937607, -0.01669109,  0.0612205 ],
       [ 0.58369787,  0.82197503,  0.00420198,  0.315478  ],
       [ 0.01110037, -0.01295934,  0.99985186,  0.1125195 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
20,"[array([[ 0.8267803 , -0.54507282, -0.01776975,  0.0754    ],
       [ 0.56237534,  0.83829917,  0.0030596 ,  0.2726585 ],
       [ 0.01297314, -0.01225266,  0.99983742,  0.1125245 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
21,"[array([[ 0.82396685, -0.54928861, -0.0164797 ,  0.1092385 ],
       [ 0.56655715,  0.83549868,  0.00707496,  0.2988925 ],
       [ 0.00957189, -0.01496564,  0.99983917,  0.112888  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
22,"[array([[ 0.86431529, -0.48637737, -0.01656286,  0.158355  ],
       [ 0.50287435,  0.87356873,  0.01108242,  0.343217  ],
       [ 0.00874421, -0.01774058,  0.99980141,  0.113225  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
23,"[array([[ 0.87195099, -0.47385741, -0.01646861,  0.1591715 ],
       [ 0.48950042,  0.88044702,  0.00987187,  0.3229455 ],
       [ 0.00952929, -0.01649848,  0.99981565,  0.1132345 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
