,LP,LD1,LD2,RP,RD1,RD2
x,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[2.239180557603925e-06, 7.605608712048328e-05, -3.352361465851744e-05, -9.049094660987956e-06, -3.084576654658602e-05, 0.0010983385041518504, -0.003253999782469491, -0.0010569729440722906, -0.012198650259176201, -0.033092887117802096, -0.04511556614175404, -0.017036705505305033, -0.019723477390308886, -0.018023209924949362, -0.013240110227666142, -0.016291747293186325, -0.006668111586070807, -0.008002241761648004, 0.0038783611094102225, 0.029015745387179104, 0.038143490324998364, 0.03345814466248724, 0.01157588160063138, 0.025953010144697832, 0.02845483047606094, 0.03844891365816159, 0.031907128606138056, 0.04111051776350686, 0.03407316335233468, 0.023586954048055195, 0.02551821483311714, 0.01743245452408082, 0.012017787076386151, 0.007111258641192102, 0.008057587587603027, 0.00226945489405342, 0.0015433520106324, -0.0015856348905904354, -0.005604148646591857, -0.017230698525773674, -0.027799328998384984, -0.02025266292536631, -0.025707878526311283, -0.040018204759367494, -0.0506664721581458, -0.0342891681521305, -0.04135961035396492, -0.036630311632040925]","[-1.5260785558385915e-05, 4.1832234999747386e-05, -1.1669502602624617e-05, 1.5157675313637173e-05, -2.681418363386966e-05, 0.00125470394293679, -0.00398084662142403, -0.0012995565352021104, -0.014688418452988702, -0.034117793587233124, -0.045424456383743955, -0.01980271332726608, -0.02260297597699658, -0.022139286153858795, -0.015362016671609415, -0.01866784736248094, -0.008362463376049699, -0.010396390695085474, 0.005621908269710134, 0.03769996109650226, 0.04388388475852377, 0.037771477968424984, 0.012649447878910687, 0.02765285879600353, 0.030268598879083033, 0.03853181324670267, 0.03157523404907206, 0.03963530510555373, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, -0.03627125012042945]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.03520850345406451, 0.028189331004562362, 0.011243023465821705, 0.026033208104559145, 0.028241085936934487, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[-1.2981042417618896e-05, 4.255099820217119e-05, -1.385105794347779e-05, 8.224298786323807e-06, -3.437976088017191e-05, 0.0009266482261217621, -0.003126568162109049, -0.0010107883158166936, -0.012399922949365804, -0.0357526350458472, -0.05369434931393964, -0.02020070262876637, -0.023403472113190008, -0.02117757210917265, -0.01743901399058563, -0.022032783345443167, -0.009528782498574185, -0.011478917483234121, 0.00540942560755377, 0.035838050113889595, 0.04477170502931274, 0.03762540091565391, 0.011727195582718068, 0.028159770816804753, 0.029697069488601915, 0.038098714470835376, 0.030068030496379083, 0.037592042416101375, 0.02984657583228405, 0.019792997866940904, 0.020639269317411595, 0.013245647475906017, 0.009310299978573975, 0.0056487521565039694, 0.0066375967593435585, 0.0018524400057658489, 0.0013947463918288574, -0.001466338136237218, -0.00507789071684182, -0.01540896916383034, -0.02520668134474999, -0.017437254356664402, -0.022723075118868633, -0.035890730645244895, -0.044465841112831285, -0.03289503434032724, -0.0433569349589977, -0.04297185767883367]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
y,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[4.700041703852816e-06, 3.94484457588939e-05, -1.9684692273891454e-05, -3.240852819573093e-05, -7.590710382490194e-07, 0.0001834537891645197, -0.0002446944043202443, 3.024393163135512e-06, -0.0011809930236045259, -0.017845658045819633, -0.04214915312234593, -0.011233740505325442, -0.013767940485258106, -0.013502863501634372, -0.013424608949201356, -0.019612356163817724, -0.007405977960571745, -0.010871289484149473, 0.002546973821428916, 0.02188367760059117, 0.03804774366089299, 0.02473685394056076, 0.009062464600257149, 0.01853315536025738, 0.015571063035241304, 0.02291483919945588, 0.014453254919558792, 0.013546563349584935, 0.005365417606001593, 0.003600886261331632, -0.0016683696612956962, -0.0014655912571973739, -0.0026101207489297824, -0.002888470861886408, -0.003360475317720409, -0.0010552656567107547, -0.0006607163263073726, 0.0005686636869046438, 0.002310553254969276, 0.006769168770214925, 0.006866531756304648, 0.0020148104732527427, 0.0009579746081757412, -0.002684699028896384, -0.014110168319735118, -0.014353364160574957, -0.02670355498815623, -0.03106750215244672]","[7.703027336923204e-06, 4.609746057042597e-05, -2.3714669532535147e-05, -3.699806633785551e-05, -1.5259741702570467e-06, 0.0001580506028268736, -0.00012448448019991345, 4.51182790688796e-05, -0.0008055868643995583, -0.01767306083707445, -0.04210888671322101, -0.011287881763035575, -0.013884889147909987, -0.013770145630480462, -0.0137071485035024, -0.020059807543948736, -0.007749860383926088, -0.011389155748786066, 0.0029063121437342466, 0.02325017732707741, 0.038486194364839715, 0.024705776535072558, 0.009029521967478698, 0.018475957384384022, 0.015304702678742323, 0.02290492822782456, 0.014536787728074386, 0.013875226372967203, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, -0.031068933319949834]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.006786456068199938, 0.0023874888201631367, 0.00031341856626373185, -0.0005119922686906668, -0.003177950757574527, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[-3.775237589257818e-05, -1.261607966157488e-05, 2.1053612899767484e-05, -5.3178664000374546e-05, 5.583506341659898e-05, -0.00015383228354637408, 0.0008878889499989752, 0.0002746855501938264, 0.0027218918586531943, 0.009927900582831021, 0.008997145536491736, 0.0021852239603593815, 0.002018942195651803, 0.0008584176509409913, -0.0014502963327160615, -0.0036535165778967065, -0.0019725677984518126, -0.003175630575255444, 0.001419853781454738, 0.00812605887665152, 0.00578745210497182, 0.0023577938607325976, 0.0001967661531856221, -0.002530149025374731, -0.009709735556904213, -0.012287645072781947, -0.012305247664502977, -0.019650487187820073, -0.020129953115657188, -0.0155399847685992, -0.019056798611094647, -0.01577742795466517, -0.0143554878862712, -0.007799601433849129, -0.007707541470550938, -0.002365810121318831, -0.0014115554677578072, 0.000802192125715741, 0.0036841090730904344, 0.010028868610645274, 0.015234942456993973, 0.010185210900867565, 0.013600085355284081, 0.022075843338782892, 0.022600214686360264, 0.017169899016479667, 0.017792730395876543, 0.011379707022377457]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
z,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[-4.706798444297362e-06, -4.0613935713411565e-05, 3.07582508456642e-05, -2.751148607329652e-05, 2.3089218514466543e-05, 4.29569657180779e-06, 4.2246191594149707e-05, -0.0002675894630781998, 0.0001830693622453428, 0.00042841438977664093, 0.00022887719230813068, -4.529380402363058e-05, 0.0005233894627144822, 0.00014149630183143164, 0.0004250888474809679, -0.00034476562963810004, 0.00014198898890095018, -3.38639739288006e-05, 0.0002989517830845371, 0.0014073455163513353, 0.0007074784526846474, 0.0008381820764259509, 7.404829784919518e-05, 0.0008049523768118407, -0.001908707625889908, -0.003235447542006425, -0.0007180468238854913, -0.0018256148473781487, -0.0012476078251724997, -0.0005632131655381171, 0.0009365370631415463, 0.0003116684534734016, 0.0011750851468827173, 0.00012694607578892392, -0.0004324434468443433, 8.66476568050132e-05, -2.767129014020826e-05, 0.0003678249783185046, 0.00044564743919404883, 0.0015306185703343267, 0.0008735159555301648, -0.0012871597571347674, -0.0009328485662009544, -0.0011613215240603952, 0.0006980507811960141, 0.0005985571346115417, 0.0004504750757236328, 0.00018866588126955687]","[-4.445769393411927e-06, 3.0899414215815754e-06, 1.4922630734968224e-05, -5.160239492775462e-05, 1.894252813794696e-05, 9.191230684294277e-05, -5.2505029034689136e-05, -0.00018762951618545397, -0.0001363445939298637, 0.0015653328443832632, 0.00030073794763447933, -3.376533801011004e-05, -0.00010888627670887448, 0.0002391880196694072, 0.0005204797464550663, -0.0007624001818935091, 0.00011406112035774096, 0.00023702264679564543, 0.0002038045760384569, 0.0020519081937460017, 0.0009503398193283136, 0.0016659795128760539, 0.00021136829475906492, 0.0007981002502838397, -0.003472412858518808, -0.002827073004651785, -0.0002631898787247637, -0.0017499892192232149, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0007941837683116184]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0032080416547168368, 0.0003941052002477354, 4.578236985124406e-05, 3.2988834473663325e-06, -0.0007856138851643317, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[-2.5501271313721898e-05, 2.6900095031752433e-05, -1.906128638805289e-05, 4.8540084117217375e-05, -5.0891813435260574e-05, 0.00012951558748955814, -0.00024994258688138216, 0.0002823102547650309, -0.0015509412333349442, -0.0009408317077091687, -0.0005640839086885475, -0.0002781650472272698, -0.0003834393691353979, -0.0002830495494440001, -5.6421703617392216e-05, -0.0003556446548140607, -0.00035952557532141526, -0.0004564350818437133, 0.0005855934055670456, 0.0029132252324509445, 0.0025065589536771337, 0.0006591690500737884, -0.001267933024664777, -0.001060948414250672, 0.001074894796068041, -0.0020596800207254365, 1.608234800167157e-05, 0.0008072310647204863, 0.0001368112582009676, 0.000541910845837666, 0.0007422331862777682, 0.000422019478326572, 0.00017131003799194974, 0.00027069763462799986, 0.000306246188200956, 0.00012099871091155685, 0.00026791346000674894, 0.00013503749540532244, 7.214855726325438e-05, 0.00018714144756562154, -0.00022248568305958147, 0.000788960803944299, -0.0011625567986148287, -0.00032503046701611265, -0.00429969993668716, -0.0006303705210757931, -0.00011208909851875022, 4.711663227010827e-05]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
